"workload_shape","n","mean_ns","sd_ns","cv_pct","mean_window","mean_cv"
"baseline",300,13110.1339354218,247.515210867203,1.88796859045392,NA,NA
"damped_sine",300,15520.3488228591,378.694616456134,2.43998779137215,NA,NA
"square_wave",300,15621.1801513951,342.587439237793,2.19309575792323,NA,NA
"triangle",300,15511.750985347,285.674268037329,1.84166357690494,NA,NA
