tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat_q48,window_width,actual_window_size,predicted_label_hits,jitter_bits,apic_ticks,time_trust_q48,variance_q48
92,920000,10000,0,0,256,25,88,256,256,0,0,0,65536,0
93,930000,10000,0,0,256,25,91,256,256,0,0,0,65536,0
94,940000,10000,0,0,256,25,93,256,256,0,0,0,65536,0
95,950000,10000,0,0,256,25,95,256,256,0,0,0,65536,0
96,960000,10000,0,0,256,25,98,256,256,0,0,0,65536,0
97,970000,10000,0,0,256,25,100,256,256,0,0,0,65536,0
98,980000,10000,0,0,256,25,103,256,256,0,0,0,65536,0
99,990000,10000,0,0,256,25,105,256,256,0,0,0,65536,0
100,1000000,10000,0,0,256,25,108,256,256,0,0,0,65536,0
101,1010000,10000,0,0,256,25,110,256,256,0,0,0,65536,0
102,1020000,10000,0,0,256,25,113,256,256,0,0,0,65536,0
103,1030000,10000,0,0,256,25,115,256,256,0,0,0,65536,0
104,1040000,10000,0,0,256,25,118,256,256,0,0,0,65536,0
105,1050000,10000,0,0,256,25,120,256,256,0,0,0,65536,0
106,1060000,10000,0,0,256,25,123,256,256,0,0,0,65536,0
107,1070000,10000,0,0,256,25,125,256,256,0,0,0,65536,0
108,1080000,10000,0,0,256,25,127,256,256,0,0,0,65536,0
109,1090000,10000,0,0,256,25,130,256,256,0,0,0,65536,0
110,1100000,10000,0,0,256,25,132,256,256,0,0,0,65536,0
111,1110000,10000,0,0,256,25,135,256,256,0,0,0,65536,0
112,1120000,10000,0,0,256,25,137,256,256,0,0,0,65536,0
113,1130000,10000,0,0,256,25,140,256,256,0,0,0,65536,0
114,1140000,10000,0,0,256,25,142,256,256,0,0,0,65536,0
115,1150000,10000,0,0,256,25,145,256,256,0,0,0,65536,0
116,1160000,10000,0,0,256,25,147,256,256,0,0,0,65536,0
117,1170000,10000,0,0,256,25,150,256,256,0,0,0,65536,0
118,1180000,10000,0,0,256,25,152,256,256,0,0,0,65536,0
119,1190000,10000,0,0,256,25,155,256,256,0,0,0,65536,0
