run_id,cfg,rep,ent_in,cv_in,tmp_in,stb_in,
0,9,8,49152,0,0,32768,7,64512,256,161,-1,0,0,0,0
1,14,5,49152,9830,32768,0,7,64512,256,161,-1,1,0,0,0
2,4,16,0,9830,0,0,7,64512,256,161,-1,1,0,0,0
3,13,15,49152,9830,0,32768,7,64512,256,161,-1,1,0,0,0
4,15,1,49152,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
5,3,14,0,0,32768,32768,7,64512,256,161,-1,1,0,0,0
6,5,29,0,9830,0,32768,7,64512,256,161,-1,1,0,0,0
7,8,29,49152,0,0,0,7,64512,256,161,-1,1,0,0,0
8,4,8,0,9830,0,0,7,64512,256,161,-1,1,0,0,0
9,14,2,49152,9830,32768,0,7,64768,256,161,-1,1,0,0,0
10,9,5,49152,0,0,32768,7,64512,256,161,-1,1,0,0,0
11,5,14,0,9830,0,32768,7,64512,256,161,-1,1,0,0,0
12,10,23,49152,0,32768,0,7,64512,256,161,-1,1,0,0,0
13,15,3,49152,9830,32768,32768,7,64768,256,161,-1,1,0,0,0
14,0,8,0,0,0,0,7,64512,256,161,-1,1,0,0,0
15,4,5,0,9830,0,0,7,64512,256,161,-1,1,0,0,0
16,12,28,49152,9830,0,0,7,64512,256,161,-1,1,0,0,0
17,0,29,0,0,0,0,7,64512,256,161,-1,1,0,0,0
18,0,23,0,0,0,0,7,64512,256,161,-1,1,0,0,0
19,2,27,0,0,32768,0,7,64512,256,161,-1,1,0,0,0
20,7,17,0,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
21,6,11,0,9830,32768,0,7,64512,256,161,-1,1,0,0,0
22,13,29,49152,9830,0,32768,7,64512,256,161,-1,1,0,0,0
23,5,7,0,9830,0,32768,7,64512,256,161,-1,1,0,0,0
24,8,20,49152,0,0,0,7,64512,256,161,-1,1,0,0,0
25,8,28,49152,0,0,0,7,64512,256,161,-1,1,0,0,0
26,4,21,0,9830,0,0,7,64512,256,161,-1,1,0,0,0
27,15,13,49152,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
28,3,7,0,0,32768,32768,7,64512,256,161,-1,1,0,0,0
29,13,18,49152,9830,0,32768,7,64512,256,161,-1,1,0,0,0
30,3,9,0,0,32768,32768,7,64256,256,161,-1,1,0,0,0
31,8,18,49152,0,0,0,7,64512,256,161,-1,1,0,0,0
32,15,20,49152,9830,32768,32768,7,64768,256,161,-1,1,0,0,0
33,0,26,0,0,0,0,7,64512,256,161,-1,1,0,0,0
34,10,6,49152,0,32768,0,7,64256,256,161,-1,1,0,0,0
35,15,27,49152,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
36,2,4,0,0,32768,0,7,64512,256,161,-1,1,0,0,0
37,12,29,49152,9830,0,0,7,64512,256,161,-1,1,0,0,0
38,5,19,0,9830,0,32768,7,64512,256,161,-1,1,0,0,0
39,4,27,0,9830,0,0,7,64512,256,161,-1,1,0,0,0
40,7,29,0,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
41,4,28,0,9830,0,0,7,64512,256,161,-1,1,0,0,0
42,8,22,49152,0,0,0,7,64512,256,161,-1,1,0,0,0
43,6,23,0,9830,32768,0,7,64512,256,161,-1,1,0,0,0
44,5,23,0,9830,0,32768,7,64512,256,161,-1,1,0,0,0
45,7,6,0,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
46,9,14,49152,0,0,32768,7,64768,256,161,-1,1,0,0,0
47,12,0,49152,9830,0,0,7,64512,256,161,-1,1,0,0,0
48,5,13,0,9830,0,32768,7,64512,256,161,-1,1,0,0,0
49,13,19,49152,9830,0,32768,7,64512,256,161,-1,1,0,0,0
50,5,22,0,9830,0,32768,7,64512,256,161,-1,1,0,0,0
51,3,12,0,0,32768,32768,7,64512,256,161,-1,1,0,0,0
52,4,1,0,9830,0,0,7,64768,256,161,-1,1,0,0,0
53,13,10,49152,9830,0,32768,7,64512,256,161,-1,1,0,0,0
54,10,16,49152,0,32768,0,7,64512,256,161,-1,1,0,0,0
55,9,23,49152,0,0,32768,7,64512,256,161,-1,1,0,0,0
56,1,21,0,0,0,32768,7,64000,256,161,-1,1,0,0,0
57,1,18,0,0,0,32768,7,64512,256,161,-1,1,0,0,0
58,15,4,49152,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
59,11,8,49152,0,32768,32768,7,64512,256,161,-1,1,0,0,0
60,11,6,49152,0,32768,32768,7,64256,256,161,-1,1,0,0,0
61,6,21,0,9830,32768,0,7,64512,256,161,-1,1,0,0,0
62,1,24,0,0,0,32768,7,64512,256,161,-1,1,0,0,0
63,2,20,0,0,32768,0,7,64512,256,161,-1,1,0,0,0
64,3,4,0,0,32768,32768,7,64512,256,161,-1,1,0,0,0
65,14,11,49152,9830,32768,0,7,64512,256,161,-1,1,0,0,0
66,15,15,49152,9830,32768,32768,7,64768,256,161,-1,1,0,0,0
67,12,12,49152,9830,0,0,7,64512,256,161,-1,1,0,0,0
68,7,14,0,9830,32768,32768,7,64768,256,161,-1,1,0,0,0
69,7,11,0,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
70,6,27,0,9830,32768,0,7,64768,256,161,-1,1,0,0,0
71,7,25,0,9830,32768,32768,7,64256,256,161,-1,1,0,0,0
72,7,28,0,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
73,3,1,0,0,32768,32768,7,64512,256,161,-1,1,0,0,0
74,10,21,49152,0,32768,0,7,64512,256,161,-1,1,0,0,0
75,4,18,0,9830,0,0,7,64512,256,161,-1,1,0,0,0
76,4,24,0,9830,0,0,7,64512,256,161,-1,1,0,0,0
77,15,21,49152,9830,32768,32768,7,64512,256,161,-1,1,0,0,0
78,8,21,49152,0,0,0,7,64256,256,161,-1,1,0,0,0
79,4,9,0,9830,0,0,7,64512,256,161,-1,1,0,0,0
80,10,1,49152,0,32768,0,7,64512,256,161,-1,1,0,0,0
81,11,12,49152,0,32768,32768,7,64512,256,161,-1,1,0,0,0
