timestamp,run_id,config_bits,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate,L1_heat,L2_window,L3_decay,L4_pipeline,L5_win_inf,L6_decay_inf,L7_heartrate,total_lookups,cache_hits,cache_hit_pct,bucket_hits,bucket_hit_pct,cache_lat_ns,cache_lat_std,bucket_lat_ns,bucket_lat_std,ctx_pred_total,ctx_correct,ctx_acc_pct,cache_promos,cache_demos,win_diversity_pct,win_final_bytes,win_width,win_total_exec,win_var_q48,decay_slope,total_heat,hot_words,stale_words,stale_ratio,avg_heat,tick_count,tick_target_ns,infer_runs,early_exits,prefetch_acc_pct,prefetch_attempts,prefetch_hits,win_tune_checks,final_win_size,workload_ns_q48,runtime_ms,words_exec,dict_lookups,mem_bytes,speedup,ci_lower,ci_upper,cpu_temp_delta,cpu_freq_delta,decay_rate_q16,decay_min_ns,rolling_win_size,shrink_rate,demotion_thresh,hotwords_enabled,pipelining_enabled
2025-11-22 23:41:45,166,1000101,1,0,0,0,1,0,1,16,1,0,0,0,1,0,1,3991,1327,33.25,1945,48.73,30,990,54,5422,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.074576,2.752542,0,1000000,0,0,0.00,0,0,0,4096,134282543104,0,4501,4395,0,1.0000,0.000000,0.000000,0,-1310720,1,1000,4096,75,10,1,1
2025-11-22 23:41:52,176,1000101,1,0,0,0,1,0,1,26,1,0,0,0,1,0,1,3991,1327,33.25,1945,48.73,41,1932,71,6790,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.074576,2.752542,0,1000000,0,0,0.00,0,0,0,4096,181233647616,0,4501,4395,0,1.0000,0.000000,0.000000,0,-21692416,1,1000,4096,75,10,1,1
2025-11-22 23:41:58,167,1000101,1,0,0,0,1,0,1,17,1,0,0,0,1,0,1,3991,1327,33.25,1945,48.73,29,1177,50,3427,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.074576,2.752542,0,1000000,0,0,0.00,0,0,0,4096,136046968832,0,4501,4395,0,1.0000,0.000000,0.000000,0,-786432,1,1000,4096,75,10,1,1
2025-11-22 23:42:05,208,0000011,0,0,0,0,0,1,1,28,0,0,0,0,0,1,1,3991,0,0.00,3272,81.98,0,0,42,2448,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,138478354432,0,4501,4395,0,1.0000,0.000000,0.000000,0,-21102592,1,1000,4096,75,10,1,1
2025-11-22 23:42:12,62,0010010,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,3991,0,0.00,3272,81.98,0,0,50,3333,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,161910554624,0,4501,4395,0,1.0000,0.000000,0.000000,0,-1507328,1,1000,4096,75,10,1,1
2025-11-22 23:42:18,202,0000011,0,0,0,0,0,1,1,22,0,0,0,0,0,1,1,3991,0,0.00,3272,81.98,0,0,41,2232,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,136324448256,0,4501,4395,0,1.0000,0.000000,0.000000,0,-26738688,1,1000,4096,75,10,1,1
2025-11-22 23:42:25,142,0100101,0,1,0,0,1,0,1,22,0,1,0,0,1,0,1,3991,0,0.00,3272,81.98,0,0,41,2332,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,137760473088,0,4501,4395,0,1.0000,0.000000,0.000000,0,3801088,1,1000,4096,75,10,1,1
2025-11-22 23:42:31,206,0000011,0,0,0,0,0,1,1,26,0,0,0,0,0,1,1,3991,0,0.00,3272,81.98,0,0,40,2043,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,133989924864,0,4501,4395,0,1.0000,0.000000,0.000000,0,-65536,1,1000,4096,75,10,1,1
2025-11-22 23:42:38,32,0100100,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,3991,0,0.00,3272,81.98,0,0,46,2767,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,155036221440,0,4501,4395,0,1.0000,0.000000,0.000000,0,-35586048,1,1000,4096,75,10,1,1
2025-11-22 23:42:45,34,0100100,0,1,0,0,1,0,0,4,0,1,0,0,1,0,0,3991,0,0.00,3272,81.98,0,0,51,145396,0,0,0.00,0,0,0.00,4096,4096,1630,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,146853199872,0,4501,4395,0,1.0000,0.000000,0.000000,0,-14745600,1,1000,4096,75,10,1,1
