tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,prefetch_hits_delta,jitter_ns,l8_mode,K_approx,K_deviation
0,492277,0,0,0,0,0,0.000000,3072,0,0,0,1.000000,0.000000
1,50004589,49512312,1477,1929,80274,0,0.000000,3072,68265,48512312,0,1.000000,0.000000
2,51091410,1086821,0,0,1569,0,0.000000,3072,1379,86821,0,1.000000,0.000000
3,52167922,1076512,0,0,1443,0,0.000000,3072,1297,76512,0,1.000000,0.000000
4,53234817,1066895,0,0,1617,0,0.000000,3072,1432,66895,0,1.000000,0.000000
5,54298105,1063288,0,0,1672,0,0.000000,3072,1521,63288,4,1.000000,0.000000
6,55357255,1059150,0,0,1644,0,0.000000,3072,1420,59150,4,1.000000,0.000000
7,56420194,1062939,0,0,1661,0,0.000000,3072,1511,62939,4,1.000000,0.000000
8,57484725,1064531,0,0,1778,0,0.000000,3072,1592,64531,4,1.000000,0.000000
9,58544711,1059986,0,0,1663,0,0.000000,3072,1439,59986,4,1.000000,0.000000
10,59602829,1058118,0,0,1719,0,0.000000,3072,1565,58118,4,1.000000,0.000000
11,60683698,1080869,0,0,1847,0,0.000000,3072,1665,80869,4,1.000000,0.000000
12,61743119,1059421,0,0,1836,0,0.000000,3072,1612,59421,4,1.000000,0.000000
13,62800209,1057090,0,0,1829,0,0.000000,3072,1605,57090,4,1.000000,0.000000
14,63856669,1056460,0,0,1800,0,0.000000,3072,1620,56460,4,1.000000,0.000000
15,64913209,1056540,0,0,1831,0,0.000000,3072,1654,56540,4,1.000000,0.000000
16,65969264,1056055,0,0,1831,0,0.000000,3072,1628,56055,4,1.000000,0.000000
17,67034491,1065227,0,0,1582,0,0.000000,3072,1381,65227,4,1.000000,0.000000
18,68099732,1065241,0,0,1579,0,0.000000,3072,1444,65241,4,1.000000,0.000000
19,69159268,1059536,0,0,1659,0,0.000000,3072,1435,59536,4,1.000000,0.000000
20,70221733,1062465,0,0,1633,0,0.000000,3072,1488,62465,4,1.000000,0.000000
21,71311563,1089830,0,0,1854,0,0.000000,3072,1663,89830,4,1.000000,0.000000
22,72409734,1098171,0,0,1866,0,0.000000,3072,1642,98171,4,1.000000,0.000000
23,73472296,1062562,0,0,1635,0,0.000000,3072,1445,62562,4,1.000000,0.000000
24,74530451,1058155,0,0,1673,0,0.000000,3072,1527,58155,4,1.000000,0.000000
25,75592160,1061709,0,0,1780,0,0.000000,3072,1556,61709,4,1.000000,0.000000
26,76655706,1063546,0,0,1744,0,0.000000,3072,1543,63546,4,1.000000,0.000000
27,77716051,1060345,0,0,1676,0,0.000000,3072,1530,60345,4,1.000000,0.000000
28,78773408,1057357,0,0,1668,0,0.000000,3072,1455,57357,4,1.000000,0.000000
29,79831914,1058506,0,0,1660,0,0.000000,3072,1486,58506,4,1.000000,0.000000
30,80889427,1057513,0,0,1668,0,0.000000,3072,1506,57513,4,1.000000,0.000000
31,81992306,1102879,0,0,1847,0,0.000000,3072,1623,102879,4,1.000000,0.000000
32,83097665,1105359,0,0,1592,0,0.000000,3072,1427,105359,4,1.000000,0.000000
33,84194937,1097272,0,0,1768,0,0.000000,3072,1597,97272,4,1.000000,0.000000
34,85239991,1045054,0,0,1786,0,0.000000,3072,1562,45054,4,1.000000,0.000000
35,86310559,1070568,0,0,1621,0,0.000000,3072,1447,70568,4,1.000000,0.000000
36,87374614,1064055,0,0,1937,0,0.000000,3072,1739,64055,4,1.000000,0.000000
37,88437608,1062994,0,0,1924,0,0.000000,3072,1726,62994,4,1.000000,0.000000
38,89501675,1064067,0,0,1826,0,0.000000,3072,1612,64067,4,1.000000,0.000000
39,90564824,1063149,0,0,1810,0,0.000000,3072,1586,63149,4,1.000000,0.000000
40,91623954,1059130,0,0,1834,0,0.000000,3072,1644,59130,4,1.000000,0.000000
41,92742249,1118295,0,0,1806,0,0.000000,3072,1634,118295,4,1.000000,0.000000
42,93804454,1062205,0,0,1733,0,0.000000,3072,1535,62205,4,1.000000,0.000000
43,94862468,1058014,0,0,1833,0,0.000000,3072,1609,58014,4,1.000000,0.000000
44,95920356,1057888,0,0,1831,0,0.000000,3072,1639,57888,4,1.000000,0.000000
45,96981648,1061292,0,0,1586,0,0.000000,3072,1442,61292,4,1.000000,0.000000
46,98043541,1061893,0,0,1600,0,0.000000,3072,1388,61893,4,1.000000,0.000000
47,99141168,1097627,0,0,1773,0,0.000000,3072,1608,97627,4,1.000000,0.000000
48,100241815,1100647,0,0,1800,0,0.000000,3072,1617,100647,4,1.000000,0.000000
49,101280983,1039168,0,0,1663,0,0.000000,3072,1439,39168,4,1.000000,0.000000
50,102349335,1068352,0,0,1642,0,0.000000,3072,1496,68352,4,1.000000,0.000000
51,103443695,1094360,0,0,1858,0,0.000000,3072,1668,94360,4,1.000000,0.000000
52,104513190,1069495,0,0,1639,0,0.000000,3072,1415,69495,4,1.000000,0.000000
53,105578405,1065215,0,0,1538,0,0.000000,3072,1413,65215,4,1.000000,0.000000
54,106649581,1071176,0,0,1543,0,0.000000,3072,1332,71176,4,1.000000,0.000000
55,107717611,1068030,0,0,1535,0,0.000000,3072,1411,68030,4,1.000000,0.000000
56,108782580,1064969,0,0,1515,0,0.000000,3072,1303,64969,4,1.000000,0.000000
57,109847106,1064526,0,0,1496,0,0.000000,3072,1384,64526,4,1.000000,0.000000
58,110911348,1064242,0,0,1520,0,0.000000,3072,1310,64242,4,1.000000,0.000000
