tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,prefetch_hits_delta,jitter_ns,l8_mode,K_approx,K_deviation
0,516157,0,0,0,0,0,0.000000,52153,0,0,0,1.000000,0.000000
1,49986052,49469895,1477,1929,68583,0,0.000000,52153,57819,48469895,0,1.000000,0.000000
2,51065165,1079113,0,0,1743,0,0.000000,52153,1584,79113,0,1.000000,0.000000
3,52127716,1062551,0,0,1727,0,0.000000,52153,1537,62551,0,1.000000,0.000000
4,53195546,1067830,0,0,1728,0,0.000000,52153,1504,67830,0,1.000000,0.000000
5,54259001,1063455,0,0,1702,0,0.000000,52153,1553,63455,4,1.000000,0.000000
6,55324564,1065563,0,0,1674,0,0.000000,52153,1487,65563,4,1.000000,0.000000
7,56387391,1062827,0,0,1706,0,0.000000,52153,1495,62827,4,1.000000,0.000000
8,57434657,1047266,0,0,1675,0,0.000000,52153,1530,47266,4,1.000000,0.000000
9,58496600,1061943,0,0,1699,0,0.000000,52153,1495,61943,4,1.000000,0.000000
10,59560955,1064355,0,0,1713,0,0.000000,52153,1513,64355,4,1.000000,0.000000
11,60678678,1117723,0,0,1784,0,0.000000,52153,1616,117723,4,1.000000,0.000000
12,61739582,1060904,0,0,1700,0,0.000000,52153,1508,60904,4,1.000000,0.000000
13,62800578,1060996,0,0,1661,0,0.000000,52153,1460,60996,4,1.000000,0.000000
14,63869383,1068805,0,0,1713,0,0.000000,52153,1560,68805,4,1.000000,0.000000
15,64930689,1061306,0,0,1638,0,0.000000,52153,1432,61306,4,1.000000,0.000000
16,65993289,1062600,0,0,1700,0,0.000000,52153,1517,62600,4,1.000000,0.000000
17,67063209,1069920,0,0,1702,0,0.000000,52153,1549,69920,4,1.000000,0.000000
18,68127105,1063896,0,0,1705,0,0.000000,52153,1481,63896,4,1.000000,0.000000
19,69188057,1060952,0,0,1701,0,0.000000,52153,1524,60952,4,1.000000,0.000000
20,70248243,1060186,0,0,1698,0,0.000000,52153,1539,60186,4,1.000000,0.000000
21,71330228,1081985,0,0,1728,0,0.000000,52153,1504,81985,4,1.000000,0.000000
22,72390869,1060641,0,0,1699,0,0.000000,52153,1525,60641,4,1.000000,0.000000
23,73452259,1061390,0,0,1704,0,0.000000,52153,1542,61390,4,1.000000,0.000000
24,74517182,1064923,0,0,1706,0,0.000000,52153,1482,64923,4,1.000000,0.000000
25,75580755,1063573,0,0,1695,0,0.000000,52153,1530,63573,4,1.000000,0.000000
26,76658188,1077433,0,0,1725,0,0.000000,52153,1554,77433,4,1.000000,0.000000
27,77722410,1064222,0,0,1707,0,0.000000,52153,1483,64222,4,1.000000,0.000000
28,78783950,1061540,0,0,1701,0,0.000000,52153,1538,61540,4,1.000000,0.000000
29,79846573,1062623,0,0,1691,0,0.000000,52153,1518,62623,4,1.000000,0.000000
30,80918051,1071478,0,0,1708,0,0.000000,52153,1484,71478,4,1.000000,0.000000
31,82014885,1096834,0,0,1756,0,0.000000,52153,1589,96834,4,1.000000,0.000000
32,83085227,1070342,0,0,1671,0,0.000000,52153,1501,70342,4,1.000000,0.000000
33,84145161,1059934,0,0,1565,0,0.000000,52153,1367,59934,4,1.000000,0.000000
34,85220809,1075648,0,0,1722,0,0.000000,52153,1567,75648,4,1.000000,0.000000
35,86279633,1058824,0,0,1699,0,0.000000,52153,1493,58824,4,1.000000,0.000000
36,87323412,1043779,0,0,1667,0,0.000000,52153,1478,43779,4,1.000000,0.000000
37,88388661,1065249,0,0,1702,0,0.000000,52153,1552,65249,4,1.000000,0.000000
38,89458602,1069941,0,0,1710,0,0.000000,52153,1489,69941,4,1.000000,0.000000
39,90518671,1060069,0,0,1700,0,0.000000,52153,1517,60069,4,1.000000,0.000000
40,91579818,1061147,0,0,1702,0,0.000000,52153,1549,61147,4,1.000000,0.000000
41,92686053,1106235,0,0,1763,0,0.000000,52153,1539,106235,4,1.000000,0.000000
42,93768476,1082423,0,0,1709,0,0.000000,52153,1519,82423,4,1.000000,0.000000
43,94833645,1065169,0,0,1704,0,0.000000,52153,1553,65169,4,1.000000,0.000000
44,95900112,1066467,0,0,1705,0,0.000000,52153,1486,66467,4,1.000000,0.000000
45,96960257,1060145,0,0,1702,0,0.000000,52153,1518,60145,4,1.000000,0.000000
46,98020307,1060050,0,0,1700,0,0.000000,52153,1548,60050,4,1.000000,0.000000
47,99080412,1060105,0,0,1698,0,0.000000,52153,1474,60105,4,1.000000,0.000000
48,100148904,1068492,0,0,1708,0,0.000000,52153,1531,68492,4,1.000000,0.000000
49,101208616,1059712,0,0,1698,0,0.000000,52153,1539,59712,4,1.000000,0.000000
50,102269109,1060493,0,0,1693,0,0.000000,52153,1469,60493,4,1.000000,0.000000
51,103324136,1055027,0,0,1665,0,0.000000,52153,1507,55027,4,1.000000,0.000000
52,104396725,1072589,0,0,1588,0,0.000000,52153,1410,72589,4,1.000000,0.000000
53,105457862,1061137,0,0,1678,0,0.000000,52153,1481,61137,4,1.000000,0.000000
54,106520852,1062990,0,0,1690,0,0.000000,52153,1542,62990,4,1.000000,0.000000
55,107584950,1064098,0,0,1692,0,0.000000,52153,1477,64098,4,1.000000,0.000000
56,108648630,1063680,0,0,1701,0,0.000000,52153,1516,63680,4,1.000000,0.000000
57,109715556,1066926,0,0,1702,0,0.000000,52153,1551,66926,4,1.000000,0.000000
58,110791434,1075878,0,0,1702,0,0.000000,52153,1478,75878,4,1.000000,0.000000
59,111853573,1062139,0,0,1700,0,0.000000,52153,1522,62139,4,1.000000,0.000000
60,112913891,1060318,0,0,1696,0,0.000000,52153,1538,60318,4,1.000000,0.000000
61,113991288,1077397,0,0,1724,0,0.000000,52153,1500,77397,4,1.000000,0.000000
62,115052257,1060969,0,0,1697,0,0.000000,52153,1523,60969,4,1.000000,0.000000
63,116123688,1071431,0,0,1720,0,0.000000,52153,1558,71431,4,1.000000,0.000000
64,117187017,1063329,0,0,1702,0,0.000000,52153,1478,63329,4,1.000000,0.000000
65,118246297,1059280,0,0,1695,0,0.000000,52153,1526,59280,4,1.000000,0.000000
66,119318050,1071753,0,0,1698,0,0.000000,52153,1531,71753,4,1.000000,0.000000
