tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,prefetch_hits_delta,jitter_ns,l8_mode,K_approx,K_deviation
0,524626,0,0,0,0,0,0.000000,6144,0,0,0,1.000000,0.000000
1,51773015,51248389,1477,1929,69700,0,0.000000,6144,58811,50248389,0,1.000000,0.000000
2,52843826,1070811,0,0,1891,0,0.000000,6144,1695,70811,0,1.000000,0.000000
3,53901574,1057748,0,0,1925,0,0.000000,6144,1728,57748,0,1.000000,0.000000
4,54957383,1055809,0,0,1930,0,0.000000,6144,1733,55809,0,1.000000,0.000000
5,56014781,1057398,0,0,1886,0,0.000000,6144,1692,57398,4,1.000000,0.000000
6,57070499,1055718,0,0,1902,0,0.000000,6144,1678,55718,4,1.000000,0.000000
7,58126180,1055681,0,0,1861,0,0.000000,6144,1637,55681,4,1.000000,0.000000
8,59181847,1055667,0,0,1927,0,0.000000,6144,1706,55667,4,1.000000,0.000000
9,60237150,1055303,0,0,1927,0,0.000000,6144,1730,55303,4,1.000000,0.000000
10,61293627,1056477,0,0,1911,0,0.000000,6144,1718,56477,4,1.000000,0.000000
11,62372973,1079346,0,0,1834,0,0.000000,6144,1654,79346,4,1.000000,0.000000
12,63428617,1055644,0,0,1927,0,0.000000,6144,1710,55644,4,1.000000,0.000000
13,64483739,1055122,0,0,1927,0,0.000000,6144,1703,55122,4,1.000000,0.000000
14,65538822,1055083,0,0,1928,0,0.000000,6144,1704,55083,4,1.000000,0.000000
15,66594006,1055184,0,0,1919,0,0.000000,6144,1695,55184,4,1.000000,0.000000
16,67651925,1057919,0,0,1744,0,0.000000,6144,1587,57919,4,1.000000,0.000000
17,68693690,1041765,0,0,1875,0,0.000000,6144,1686,41765,4,1.000000,0.000000
18,69749796,1056106,0,0,1816,0,0.000000,6144,1602,56106,4,1.000000,0.000000
19,70805241,1055445,0,0,1820,0,0.000000,6144,1596,55445,4,1.000000,0.000000
20,71861199,1055958,0,0,1914,0,0.000000,6144,1709,55958,4,1.000000,0.000000
21,72924544,1063345,0,0,1884,0,0.000000,6144,1694,63345,4,1.000000,0.000000
22,73980150,1055606,0,0,1880,0,0.000000,6144,1693,55606,4,1.000000,0.000000
23,75035327,1055177,0,0,1906,0,0.000000,6144,1704,55177,4,1.000000,0.000000
24,76090203,1054876,0,0,1929,0,0.000000,6144,1705,54876,4,1.000000,0.000000
25,77145167,1054964,0,0,1929,0,0.000000,6144,1704,54964,4,1.000000,0.000000
26,78200309,1055142,0,0,1880,0,0.000000,6144,1657,55142,4,1.000000,0.000000
27,79255770,1055461,0,0,1924,0,0.000000,6144,1725,55461,4,1.000000,0.000000
28,80342886,1087116,0,0,1972,0,0.000000,6144,1765,87116,4,1.000000,0.000000
29,81403560,1060674,0,0,1831,0,0.000000,6144,1654,60674,4,1.000000,0.000000
30,82460757,1057197,0,0,1834,0,0.000000,6144,1633,57197,4,1.000000,0.000000
31,83530444,1069687,0,0,1855,0,0.000000,6144,1631,69687,4,1.000000,0.000000
32,84586522,1056078,0,0,1814,0,0.000000,6144,1604,56078,4,1.000000,0.000000
33,85673623,1087101,0,0,1982,0,0.000000,6144,1773,87101,4,1.000000,0.000000
34,86723987,1050364,0,0,1921,0,0.000000,6144,1726,50364,4,1.000000,0.000000
35,87786215,1062228,0,0,1939,0,0.000000,6144,1739,62228,4,1.000000,0.000000
36,88848400,1062185,0,0,1921,0,0.000000,6144,1724,62185,4,1.000000,0.000000
37,89910652,1062252,0,0,1928,0,0.000000,6144,1707,62252,4,1.000000,0.000000
38,90972942,1062290,0,0,1922,0,0.000000,6144,1698,62290,4,1.000000,0.000000
39,92032163,1059221,0,0,1840,0,0.000000,6144,1616,59221,4,1.000000,0.000000
40,93089142,1056979,0,0,1838,0,0.000000,6144,1654,56979,4,1.000000,0.000000
41,94153733,1064591,0,0,1774,0,0.000000,6144,1609,64591,4,1.000000,0.000000
42,95280012,1126279,0,0,1654,0,0.000000,6144,1443,126279,4,1.000000,0.000000
43,96344593,1064581,0,0,1556,0,0.000000,6144,1405,64581,4,1.000000,0.000000
44,97404388,1059795,0,0,1636,0,0.000000,6144,1451,59795,4,1.000000,0.000000
45,98466342,1061954,0,0,1549,0,0.000000,6144,1376,61954,4,1.000000,0.000000
46,99528957,1062615,0,0,1638,0,0.000000,6144,1475,62615,4,1.000000,0.000000
47,100588672,1059715,0,0,1665,0,0.000000,6144,1448,59715,4,1.000000,0.000000
48,101645862,1057190,0,0,1760,0,0.000000,6144,1598,57190,4,1.000000,0.000000
49,102694001,1048139,0,0,1796,0,0.000000,6144,1615,48139,4,1.000000,0.000000
50,103750978,1056977,0,0,1797,0,0.000000,6144,1573,56977,4,1.000000,0.000000
51,104824763,1073785,0,0,1865,0,0.000000,6144,1642,73785,4,1.000000,0.000000
52,105881135,1056372,0,0,1838,0,0.000000,6144,1659,56372,4,1.000000,0.000000
53,106936942,1055807,0,0,1838,0,0.000000,6144,1660,55807,4,1.000000,0.000000
54,107992735,1055793,0,0,1839,0,0.000000,6144,1635,55793,4,1.000000,0.000000
55,109049339,1056604,0,0,1752,0,0.000000,6144,1527,56604,4,1.000000,0.000000
56,110110218,1060879,0,0,1567,0,0.000000,6144,1433,60879,4,1.000000,0.000000
57,111170174,1059956,0,0,1618,0,0.000000,6144,1417,59956,4,1.000000,0.000000
58,112228335,1058161,0,0,1672,0,0.000000,6144,1493,58161,4,1.000000,0.000000
59,113284973,1056638,0,0,1756,0,0.000000,6144,1594,56638,4,1.000000,0.000000
60,114341099,1056126,0,0,1769,0,0.000000,6144,1550,56126,4,1.000000,0.000000
61,115418166,1077067,0,0,1863,0,0.000000,6144,1639,77067,4,1.000000,0.000000
62,116476106,1057940,0,0,1793,0,0.000000,6144,1617,57940,4,1.000000,0.000000
63,117534145,1058039,0,0,1659,0,0.000000,6144,1499,58039,4,1.000000,0.000000
64,118595371,1061226,0,0,1548,0,0.000000,6144,1348,61226,4,1.000000,0.000000
65,119656026,1060655,0,0,1569,0,0.000000,6144,1433,60655,4,1.000000,0.000000
66,120697335,1041309,0,0,1756,0,0.000000,6144,1532,41309,4,1.000000,0.000000
67,121755898,1058563,0,0,1820,0,0.000000,6144,1619,58563,4,1.000000,0.000000
68,122812820,1056922,0,0,1827,0,0.000000,6144,1651,56922,4,1.000000,0.000000
69,123868888,1056068,0,0,1838,0,0.000000,6144,1655,56068,4,1.000000,0.000000
70,124924940,1056052,0,0,1839,0,0.000000,6144,1615,56052,4,1.000000,0.000000
71,125989126,1064186,0,0,1851,0,0.000000,6144,1627,64186,4,1.000000,0.000000
72,127044944,1055818,0,0,1837,0,0.000000,6144,1648,55818,4,1.000000,0.000000
73,128100855,1055911,0,0,1730,0,0.000000,6144,1573,55911,4,1.000000,0.000000
74,129157903,1057048,0,0,1733,0,0.000000,6144,1519,57048,4,1.000000,0.000000
75,130219918,1062015,0,0,1640,0,0.000000,6144,1458,62015,4,1.000000,0.000000
76,131279050,1059132,0,0,1825,0,0.000000,6144,1649,59132,4,1.000000,0.000000
77,132336420,1057370,0,0,1828,0,0.000000,6144,1626,57370,4,1.000000,0.000000
78,133392971,1056551,0,0,1827,0,0.000000,6144,1603,56551,4,1.000000,0.000000
79,134449927,1056956,0,0,1836,0,0.000000,6144,1630,56956,4,1.000000,0.000000
80,135505964,1056037,0,0,1834,0,0.000000,6144,1657,56037,4,1.000000,0.000000
81,136572123,1066159,0,0,1751,0,0.000000,6144,1574,66159,4,1.000000,0.000000
82,137629093,1056970,0,0,1691,0,0.000000,6144,1467,56970,4,1.000000,0.000000
83,138691898,1062805,0,0,1615,0,0.000000,6144,1472,62805,4,1.000000,0.000000
84,139752812,1060914,0,0,1651,0,0.000000,6144,1458,60914,4,1.000000,0.000000
85,140811136,1058324,0,0,1721,0,0.000000,6144,1518,58324,4,1.000000,0.000000
86,141868019,1056883,0,0,1836,0,0.000000,6144,1658,56883,4,1.000000,0.000000
87,142925893,1057874,0,0,1772,0,0.000000,6144,1593,57874,4,1.000000,0.000000
88,143983033,1057140,0,0,1662,0,0.000000,6144,1438,57140,4,1.000000,0.000000
89,145039230,1056197,0,0,1829,0,0.000000,6144,1646,56197,4,1.000000,0.000000
90,146095193,1055963,0,0,1829,0,0.000000,6144,1652,55963,4,1.000000,0.000000
91,147160188,1064995,0,0,1852,0,0.000000,6144,1652,64995,4,1.000000,0.000000
92,148216064,1055876,0,0,1838,0,0.000000,6144,1614,55876,4,1.000000,0.000000
93,149271665,1055601,0,0,1837,0,0.000000,6144,1622,55601,4,1.000000,0.000000
94,150327292,1055627,0,0,1837,0,0.000000,6144,1657,55627,4,1.000000,0.000000
95,151384510,1057218,0,0,1807,0,0.000000,6144,1635,57218,4,1.000000,0.000000
96,152440913,1056403,0,0,1828,0,0.000000,6144,1611,56403,4,1.000000,0.000000
97,153497244,1056331,0,0,1740,0,0.000000,6144,1522,56331,4,1.000000,0.000000
98,154553029,1055785,0,0,1835,0,0.000000,6144,1654,55785,4,1.000000,0.000000
99,155608765,1055736,0,0,1835,0,0.000000,6144,1658,55736,4,1.000000,0.000000
100,156664499,1055734,0,0,1836,0,0.000000,6144,1628,55734,4,1.000000,0.000000
101,157692939,1028440,0,0,1784,0,0.000000,6144,1560,28440,4,1.000000,0.000000
102,158751879,1058940,0,0,1722,0,0.000000,6144,1552,58940,4,1.000000,0.000000
103,159811245,1059366,0,0,1711,0,0.000000,6144,1545,59366,4,1.000000,0.000000
104,160868003,1056758,0,0,1839,0,0.000000,6144,1615,56758,4,1.000000,0.000000
105,161925247,1057244,0,0,1800,0,0.000000,6144,1588,57244,4,1.000000,0.000000
