tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,prefetch_hits_delta,jitter_ns,l8_mode,K_approx,K_deviation
0,466676,0,0,0,0,0,0.000000,8192,0,0,0,1.000000,0.000000
1,50005741,49539065,1477,1929,77389,0,0.000000,8192,65709,48539065,0,1.000000,0.000000
2,51078861,1073120,0,0,1751,0,0.000000,8192,1534,73120,0,1.000000,0.000000
3,52138904,1060043,0,0,1664,0,0.000000,8192,1476,60043,0,1.000000,0.000000
4,53201818,1062914,0,0,1593,0,0.000000,8192,1445,62914,0,1.000000,0.000000
5,54268416,1066598,0,0,1684,0,0.000000,8192,1460,66598,4,1.000000,0.000000
6,55360179,1091763,0,0,1828,0,0.000000,8192,1647,91763,4,1.000000,0.000000
7,56453530,1093351,0,0,1943,0,0.000000,8192,1744,93351,4,1.000000,0.000000
8,57548199,1094669,0,0,1983,0,0.000000,8192,1774,94669,4,1.000000,0.000000
9,58590696,1042497,0,0,1880,0,0.000000,8192,1685,42497,4,1.000000,0.000000
10,59653942,1063246,0,0,1842,0,0.000000,8192,1618,63246,4,1.000000,0.000000
11,60747606,1093664,0,0,1567,0,0.000000,8192,1393,93664,4,1.000000,0.000000
12,61809360,1061754,0,0,1574,0,0.000000,8192,1412,61754,4,1.000000,0.000000
13,62867911,1058551,0,0,1821,0,0.000000,8192,1597,58551,4,1.000000,0.000000
14,63925411,1057500,0,0,1832,0,0.000000,8192,1641,57500,4,1.000000,0.000000
15,64986596,1061185,0,0,1897,0,0.000000,8192,1707,61185,4,1.000000,0.000000
16,66046137,1059541,0,0,1804,0,0.000000,8192,1625,59541,4,1.000000,0.000000
17,67103683,1057546,0,0,1737,0,0.000000,8192,1513,57546,4,1.000000,0.000000
18,68161446,1057763,0,0,1590,0,0.000000,8192,1435,57763,4,1.000000,0.000000
19,69218176,1056730,0,0,1614,0,0.000000,8192,1433,56730,4,1.000000,0.000000
20,70304715,1086539,0,0,1895,0,0.000000,8192,1671,86539,4,1.000000,0.000000
21,71410681,1105966,0,0,1989,0,0.000000,8192,1765,105966,4,1.000000,0.000000
22,72508711,1098030,0,0,1988,0,0.000000,8192,1773,98030,4,1.000000,0.000000
23,73561795,1053084,0,0,1585,0,0.000000,8192,1457,53084,4,1.000000,0.000000
24,74596202,1034407,0,0,1862,0,0.000000,8192,1645,34407,4,1.000000,0.000000
25,75659285,1063083,0,0,1880,0,0.000000,8192,1656,63083,4,1.000000,0.000000
26,76722128,1062843,0,0,1918,0,0.000000,8192,1694,62843,4,1.000000,0.000000
27,77784554,1062426,0,0,1777,0,0.000000,8192,1607,62426,4,1.000000,0.000000
28,78852880,1068326,0,0,1505,0,0.000000,8192,1339,68326,4,1.000000,0.000000
29,79915578,1062698,0,0,1633,0,0.000000,8192,1453,62698,4,1.000000,0.000000
30,80975566,1059988,0,0,1650,0,0.000000,8192,1494,59988,4,1.000000,0.000000
31,82061229,1085663,0,0,1692,0,0.000000,8192,1468,85663,4,1.000000,0.000000
32,83125404,1064175,0,0,1636,0,0.000000,8192,1491,64175,4,1.000000,0.000000
33,84183254,1057850,0,0,1768,0,0.000000,8192,1577,57850,4,1.000000,0.000000
34,85239668,1056414,0,0,1825,0,0.000000,8192,1600,56414,4,1.000000,0.000000
35,86296253,1056585,0,0,1835,0,0.000000,8192,1631,56585,4,1.000000,0.000000
36,87352214,1055961,0,0,1831,0,0.000000,8192,1654,55961,4,1.000000,0.000000
37,88408189,1055975,0,0,1829,0,0.000000,8192,1651,55975,4,1.000000,0.000000
38,89463892,1055703,0,0,1829,0,0.000000,8192,1605,55703,4,1.000000,0.000000
39,90520670,1056778,0,0,1593,0,0.000000,8192,1411,56778,4,1.000000,0.000000
40,91555248,1034578,0,0,1685,0,0.000000,8192,1531,34578,4,1.000000,0.000000
41,92628656,1073408,0,0,1840,0,0.000000,8192,1616,73408,4,1.000000,0.000000
42,93687543,1058887,0,0,1530,0,0.000000,8192,1367,58887,4,1.000000,0.000000
43,94755496,1067953,0,0,1489,0,0.000000,8192,1316,67953,4,1.000000,0.000000
44,95818016,1062520,0,0,1663,0,0.000000,8192,1484,62520,4,1.000000,0.000000
45,96877769,1059753,0,0,1814,0,0.000000,8192,1641,59753,4,1.000000,0.000000
46,97935992,1058223,0,0,1773,0,0.000000,8192,1564,58223,4,1.000000,0.000000
47,98993858,1057866,0,0,1731,0,0.000000,8192,1517,57866,4,1.000000,0.000000
48,100051289,1057431,0,0,1752,0,0.000000,8192,1591,57431,4,1.000000,0.000000
49,101110091,1058802,0,0,1681,0,0.000000,8192,1497,58802,4,1.000000,0.000000
50,102167091,1057000,0,0,1700,0,0.000000,8192,1487,57000,4,1.000000,0.000000
51,103247074,1079983,0,0,1746,0,0.000000,8192,1585,79983,4,1.000000,0.000000
52,104308705,1061631,0,0,1814,0,0.000000,8192,1628,61631,4,1.000000,0.000000
53,105365525,1056820,0,0,1831,0,0.000000,8192,1607,56820,4,1.000000,0.000000
54,106422464,1056939,0,0,1661,0,0.000000,8192,1477,56939,4,1.000000,0.000000
55,107479819,1057355,0,0,1611,0,0.000000,8192,1459,57355,4,1.000000,0.000000
56,108537264,1057445,0,0,1668,0,0.000000,8192,1444,57445,4,1.000000,0.000000
