tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,prefetch_hits_delta,jitter_ns,l8_mode,K_approx,K_deviation
0,535761,0,0,0,0,0,0.000000,1536,0,0,0,1.000000,0.000000
1,50028076,49492315,1477,1929,82688,0,0.000000,1536,70416,48492315,0,1.000000,0.000000
2,51106001,1077925,0,0,1681,0,0.000000,1536,1496,77925,0,1.000000,0.000000
3,52219623,1113622,0,0,1734,0,0.000000,1536,1514,113622,0,1.000000,0.000000
4,53283013,1063390,0,0,1633,0,0.000000,1536,1496,63390,0,1.000000,0.000000
5,54342816,1059803,0,0,1718,0,0.000000,1536,1515,59803,4,1.000000,0.000000
6,55399657,1056841,0,0,1825,0,0.000000,1536,1601,56841,4,1.000000,0.000000
7,56458481,1058824,0,0,1833,0,0.000000,1536,1651,58824,4,1.000000,0.000000
8,57516051,1057570,0,0,1839,0,0.000000,1536,1660,57570,4,1.000000,0.000000
9,58572310,1056259,0,0,1837,0,0.000000,1536,1638,56259,4,1.000000,0.000000
10,59629272,1056962,0,0,1825,0,0.000000,1536,1601,56962,4,1.000000,0.000000
11,60707115,1077843,0,0,1872,0,0.000000,1536,1654,77843,4,1.000000,0.000000
12,61794564,1087449,0,0,1962,0,0.000000,1536,1757,87449,4,1.000000,0.000000
13,62855912,1061348,0,0,1880,0,0.000000,1536,1694,61348,4,1.000000,0.000000
14,63918451,1062539,0,0,1847,0,0.000000,1536,1664,62539,4,1.000000,0.000000
15,65006216,1087765,0,0,1985,0,0.000000,1536,1769,87765,4,1.000000,0.000000
16,66086270,1080054,0,0,1965,0,0.000000,1536,1741,80054,4,1.000000,0.000000
17,67148191,1061921,0,0,1935,0,0.000000,1536,1710,61921,4,1.000000,0.000000
18,68210514,1062323,0,0,1935,0,0.000000,1536,1712,62323,4,1.000000,0.000000
19,69272731,1062217,0,0,1929,0,0.000000,1536,1706,62217,4,1.000000,0.000000
20,70331876,1059145,0,0,1820,0,0.000000,1536,1645,59145,4,1.000000,0.000000
21,71398297,1066421,0,0,1856,0,0.000000,1536,1673,66421,4,1.000000,0.000000
22,72457960,1059663,0,0,1777,0,0.000000,1536,1574,59663,4,1.000000,0.000000
23,73517531,1059571,0,0,1760,0,0.000000,1536,1536,59571,4,1.000000,0.000000
24,74575900,1058369,0,0,1730,0,0.000000,1536,1573,58369,4,1.000000,0.000000
25,75634665,1058765,0,0,1763,0,0.000000,1536,1584,58765,4,1.000000,0.000000
26,76692558,1057893,0,0,1829,0,0.000000,1536,1605,57893,4,1.000000,0.000000
27,77748442,1055884,0,0,1838,0,0.000000,1536,1621,55884,4,1.000000,0.000000
28,78804415,1055973,0,0,1837,0,0.000000,1536,1656,55973,4,1.000000,0.000000
29,79861328,1056913,0,0,1840,0,0.000000,1536,1662,56913,4,1.000000,0.000000
30,80917351,1056023,0,0,1838,0,0.000000,1536,1630,56023,4,1.000000,0.000000
31,81983960,1066609,0,0,1851,0,0.000000,1536,1627,66609,4,1.000000,0.000000
32,83041009,1057049,0,0,1814,0,0.000000,1536,1611,57049,4,1.000000,0.000000
33,84048906,1007897,0,0,1725,0,0.000000,1536,1569,7897,4,1.000000,0.000000
34,85106463,1057557,0,0,1840,0,0.000000,1536,1639,57557,4,1.000000,0.000000
35,86162623,1056160,0,0,1841,0,0.000000,1536,1617,56160,4,1.000000,0.000000
36,87218469,1055846,0,0,1841,0,0.000000,1536,1628,55846,4,1.000000,0.000000
37,88274502,1056033,0,0,1827,0,0.000000,1536,1651,56033,4,1.000000,0.000000
38,89330218,1055716,0,0,1840,0,0.000000,1536,1659,55716,4,1.000000,0.000000
39,90386110,1055892,0,0,1842,0,0.000000,1536,1628,55892,4,1.000000,0.000000
40,91442016,1055906,0,0,1841,0,0.000000,1536,1617,55906,4,1.000000,0.000000
41,92506401,1064385,0,0,1794,0,0.000000,1536,1602,64385,4,1.000000,0.000000
42,93564890,1058489,0,0,1840,0,0.000000,1536,1662,58489,4,1.000000,0.000000
43,94621392,1056502,0,0,1842,0,0.000000,1536,1652,56502,4,1.000000,0.000000
44,95677384,1055992,0,0,1822,0,0.000000,1536,1597,55992,4,1.000000,0.000000
45,96733937,1056553,0,0,1840,0,0.000000,1536,1618,56553,4,1.000000,0.000000
46,97791554,1057617,0,0,1838,0,0.000000,1536,1659,57617,4,1.000000,0.000000
47,98848905,1057351,0,0,1838,0,0.000000,1536,1660,57351,4,1.000000,0.000000
48,99905519,1056614,0,0,1814,0,0.000000,1536,1610,56614,4,1.000000,0.000000
49,100962012,1056493,0,0,1839,0,0.000000,1536,1615,56493,4,1.000000,0.000000
50,102017817,1055805,0,0,1835,0,0.000000,1536,1631,55805,4,1.000000,0.000000
51,103048477,1030660,0,0,1788,0,0.000000,1536,1620,30660,4,1.000000,0.000000
52,104104716,1056239,0,0,1794,0,0.000000,1536,1606,56239,4,1.000000,0.000000
53,105160512,1055796,0,0,1832,0,0.000000,1536,1608,55796,4,1.000000,0.000000
54,106216409,1055897,0,0,1841,0,0.000000,1536,1626,55897,4,1.000000,0.000000
55,107273573,1057164,0,0,1803,0,0.000000,1536,1631,57164,4,1.000000,0.000000
56,108330172,1056599,0,0,1834,0,0.000000,1536,1655,56599,4,1.000000,0.000000
57,109454462,1124290,0,0,1774,0,0.000000,1536,1556,124290,4,1.000000,0.000000
58,110516618,1062156,0,0,1647,0,0.000000,1536,1459,62156,4,1.000000,0.000000
59,111574678,1058060,0,0,1682,0,0.000000,1536,1534,58060,4,1.000000,0.000000
60,112668372,1093694,0,0,1746,0,0.000000,1536,1522,93694,4,1.000000,0.000000
61,113756512,1088140,0,0,1701,0,0.000000,1536,1515,88140,4,1.000000,0.000000
62,114848746,1092234,0,0,1850,0,0.000000,1536,1670,92234,4,1.000000,0.000000
63,115939982,1091236,0,0,1845,0,0.000000,1536,1651,91236,4,1.000000,0.000000
64,117031182,1091200,0,0,1704,0,0.000000,1536,1479,91200,4,1.000000,0.000000
65,118089371,1058189,0,0,1769,0,0.000000,1536,1590,58189,4,1.000000,0.000000
66,119154436,1065065,0,0,1818,0,0.000000,1536,1644,65065,4,1.000000,0.000000
67,120219005,1064569,0,0,1817,0,0.000000,1536,1611,64569,4,1.000000,0.000000
68,121282646,1063641,0,0,1840,0,0.000000,1536,1616,63641,4,1.000000,0.000000
69,122346090,1063444,0,0,1899,0,0.000000,1536,1683,63444,4,1.000000,0.000000
70,123405384,1059294,0,0,1844,0,0.000000,1536,1663,59294,4,1.000000,0.000000
71,124476338,1070954,0,0,1838,0,0.000000,1536,1660,70954,4,1.000000,0.000000
72,125537646,1061308,0,0,1689,0,0.000000,1536,1480,61308,4,1.000000,0.000000
73,126597286,1059640,0,0,1680,0,0.000000,1536,1493,59640,4,1.000000,0.000000
74,127654097,1056811,0,0,1764,0,0.000000,1536,1601,56811,4,1.000000,0.000000
75,128711402,1057305,0,0,1714,0,0.000000,1536,1504,57305,4,1.000000,0.000000
76,129773466,1062064,0,0,1701,0,0.000000,1536,1507,62064,4,1.000000,0.000000
77,130832769,1059303,0,0,1736,0,0.000000,1536,1578,59303,4,1.000000,0.000000
78,131920967,1088198,0,0,1954,0,0.000000,1536,1746,88198,4,1.000000,0.000000
79,132985520,1064553,0,0,1697,0,0.000000,1536,1473,64553,4,1.000000,0.000000
80,134079814,1094294,0,0,1852,0,0.000000,1536,1649,94294,4,1.000000,0.000000
81,135158931,1079117,0,0,1701,0,0.000000,1536,1550,79117,4,1.000000,0.000000
82,136217227,1058296,0,0,1686,0,0.000000,1536,1480,58296,4,1.000000,0.000000
83,137278419,1061192,0,0,1917,0,0.000000,1536,1693,61192,4,1.000000,0.000000
84,138340754,1062335,0,0,1913,0,0.000000,1536,1706,62335,4,1.000000,0.000000
85,139402980,1062226,0,0,1916,0,0.000000,1536,1720,62226,4,1.000000,0.000000
86,140465370,1062390,0,0,1721,0,0.000000,1536,1563,62390,4,1.000000,0.000000
87,141524422,1059052,0,0,1831,0,0.000000,1536,1608,59052,4,1.000000,0.000000
88,142581319,1056897,0,0,1838,0,0.000000,1536,1614,56897,4,1.000000,0.000000
89,143637753,1056434,0,0,1815,0,0.000000,1536,1634,56434,4,1.000000,0.000000
90,144694135,1056382,0,0,1837,0,0.000000,1536,1659,56382,4,1.000000,0.000000
91,145757231,1063096,0,0,1850,0,0.000000,1536,1649,63096,4,1.000000,0.000000
92,146815712,1058481,0,0,1776,0,0.000000,1536,1552,58481,4,1.000000,0.000000
93,147872327,1056615,0,0,1750,0,0.000000,1536,1566,56615,4,1.000000,0.000000
94,148928704,1056377,0,0,1821,0,0.000000,1536,1646,56377,4,1.000000,0.000000
95,149984679,1055975,0,0,1825,0,0.000000,1536,1623,55975,4,1.000000,0.000000
96,151054541,1069862,0,0,1801,0,0.000000,1536,1578,69862,4,1.000000,0.000000
97,152086633,1032092,0,0,1741,0,0.000000,1536,1558,32092,4,1.000000,0.000000
98,153150426,1063793,0,0,1607,0,0.000000,1536,1454,63793,4,1.000000,0.000000
99,154210380,1059954,0,0,1666,0,0.000000,1536,1444,59954,4,1.000000,0.000000
100,155268041,1057661,0,0,1672,0,0.000000,1536,1528,57661,4,1.000000,0.000000
101,156337558,1069517,0,0,1691,0,0.000000,1536,1497,69517,4,1.000000,0.000000
102,157399328,1061770,0,0,1776,0,0.000000,1536,1555,61770,4,1.000000,0.000000
103,158462914,1063586,0,0,1766,0,0.000000,1536,1603,63586,4,1.000000,0.000000
104,159522436,1059522,0,0,1725,0,0.000000,1536,1549,59522,4,1.000000,0.000000
105,160580922,1058486,0,0,1826,0,0.000000,1536,1602,58486,4,1.000000,0.000000
106,161638254,1057332,0,0,1836,0,0.000000,1536,1624,57332,4,1.000000,0.000000
107,162694025,1055771,0,0,1833,0,0.000000,1536,1656,55771,4,1.000000,0.000000
108,163780758,1086733,0,0,1928,0,0.000000,1536,1729,86733,4,1.000000,0.000000
109,164872229,1091471,0,0,1972,0,0.000000,1536,1765,91471,4,1.000000,0.000000
110,165961332,1089103,0,0,1971,0,0.000000,1536,1758,89103,4,1.000000,0.000000
111,167068919,1107587,0,0,2019,0,0.000000,1536,1795,107587,4,1.000000,0.000000
112,168087313,1018394,0,0,1867,0,0.000000,1536,1643,18394,4,1.000000,0.000000
113,169149411,1062098,0,0,1941,0,0.000000,1536,1717,62098,4,1.000000,0.000000
114,170211062,1061651,0,0,1934,0,0.000000,1536,1711,61651,4,1.000000,0.000000
115,171273108,1062046,0,0,1927,0,0.000000,1536,1731,62046,4,1.000000,0.000000
116,172335571,1062463,0,0,1923,0,0.000000,1536,1727,62463,4,1.000000,0.000000
117,173396927,1061356,0,0,1747,0,0.000000,1536,1578,61356,4,1.000000,0.000000
118,174456054,1059127,0,0,1841,0,0.000000,1536,1617,59127,4,1.000000,0.000000
119,175512576,1056522,0,0,1819,0,0.000000,1536,1595,56522,4,1.000000,0.000000
120,176568678,1056102,0,0,1826,0,0.000000,1536,1650,56102,4,1.000000,0.000000
121,177635188,1066510,0,0,1853,0,0.000000,1536,1672,66510,4,1.000000,0.000000
122,178691140,1055952,0,0,1836,0,0.000000,1536,1633,55952,4,1.000000,0.000000
123,179747631,1056491,0,0,1836,0,0.000000,1536,1612,56491,4,1.000000,0.000000
124,180804164,1056533,0,0,1832,0,0.000000,1536,1624,56533,4,1.000000,0.000000
125,181876320,1072156,0,0,1426,0,0.000000,1536,1298,72156,4,1.000000,0.000000
126,182940449,1064129,0,0,1554,0,0.000000,1536,1367,64129,4,1.000000,0.000000
127,184001227,1060778,0,0,1700,0,0.000000,1536,1551,60778,4,1.000000,0.000000
128,185049856,1048629,0,0,1655,0,0.000000,1536,1431,48629,4,1.000000,0.000000
129,186107867,1058011,0,0,1827,0,0.000000,1536,1631,58011,4,1.000000,0.000000
130,187168067,1060200,0,0,1824,0,0.000000,1536,1649,60200,4,1.000000,0.000000
131,188243751,1075684,0,0,1863,0,0.000000,1536,1674,75684,4,1.000000,0.000000
132,189300489,1056738,0,0,1831,0,0.000000,1536,1607,56738,4,1.000000,0.000000
133,190356565,1056076,0,0,1820,0,0.000000,1536,1596,56076,4,1.000000,0.000000
134,191412540,1055975,0,0,1821,0,0.000000,1536,1644,55975,4,1.000000,0.000000
