"arch","n_ticks","elapsed_s","mean_exec_delta","sd_exec_delta","mean_hot_words","mean_heat","max_heat","mean_win","mean_trust","mean_variance"
"amd64",261098,2.61098,255.984488582831,1.11681709839128,75.4909803981647,4.63398900296598,9.26994323730469,256.691836015596,0.992923053720153,0.0165503825164957
"aarch64",261095,2.61095,255.984488404604,1.11682351331341,26.5741971313124,0.548864321165447,8.95127868652344,256.69184396484,1,0
"riscv64",261095,2.61095,255.984488404604,1.11682351331341,26.3313046975239,0.379282322885816,8.73178100585938,256.69184396484,1,0
