"rep","seed","arch","n_ticks","mean_exec_delta","sd_exec_delta","mean_heat","max_heat","mean_trust","mean_variance","mean_win"
"1",12345,"amd64",261098,255.984488582831,1.11681709839128,4.63398900302442,9.26994323730469,0.99457035231692,0.00969677209435909,256.691836015596
"1",12345,"aarch64",261095,255.984488404604,1.11682351331341,0.498436510059067,9.30778503417969,1,0,256.69184396484
"1",12345,"riscv64",261095,255.984488404604,1.11682351331341,0.348686835433407,9.30662536621094,1,0,256.69184396484
"2",67890,"amd64",261098,255.984488582831,1.11681709839128,4.63398900302442,9.26994323730469,0.990903613491544,0.0215047161560267,256.691836015596
"2",67890,"aarch64",261095,255.984488404604,1.11682351331341,0.670400172801761,9.30296325683594,1,0,256.69184396484
"2",67890,"riscv64",261095,255.984488404604,1.11682351331341,0.504006495267845,9.30220031738281,1,0,256.69184396484
"3",13579,"amd64",261098,255.984488582831,1.11681709839128,4.63398900296598,9.26994323730469,0.992923053720153,0.0165503825164957,256.691836015596
"3",13579,"aarch64",261095,255.984488404604,1.11682351331341,0.548864321165447,8.95127868652344,1,0,256.69184396484
"3",13579,"riscv64",261095,255.984488404604,1.11682351331341,0.379282322885816,8.73178100585938,1,0,256.69184396484
