level_raw,level_norm,count,pct_total,n_cfgs,pct_early
63232,0.964844,11,0.8,9,100.0
63488,0.968750,30,2.1,13,100.0
63744,0.972656,16,1.1,10,100.0
64000,0.976562,9,0.6,8,100.0
64256,0.980469,9,0.6,7,100.0
64512,0.984375,1165,80.9,16,99.7
64768,0.988281,200,13.9,16,99.0
