cfg,rep,seed_12345,seed_67890,seed_13579,delta_q48,position_effect
6,5,64512,64512,64512,0,0
6,6,64512,64512,64512,0,0
6,7,64512,64512,64512,0,0
6,8,64512,64512,64512,0,0
6,9,64512,64512,64512,0,0
6,10,64768,64512,64512,256,1
6,11,64512,64768,64512,256,1
6,12,64512,64512,64000,512,1
6,13,64512,64512,64768,256,1
6,14,64512,64512,64768,256,1
6,15,64512,64512,64512,0,0
6,16,64512,64256,64768,512,1
6,17,63232,64512,64768,1536,1
6,18,64512,64512,64512,0,0
6,19,64512,64512,64768,256,1
6,20,64768,64512,64512,256,1
6,21,64512,64512,64768,256,1
6,22,64512,63744,64512,768,1
6,23,64512,64768,64768,256,1
6,24,64768,64512,64512,256,1
6,25,64512,64512,64512,0,0
6,26,64768,64512,64512,256,1
6,27,64512,64512,64512,0,0
6,28,64512,64512,64512,0,0
6,29,64512,64512,64512,0,0
7,0,64512,64512,64512,0,0
7,1,64512,64512,64768,256,1
7,2,64512,64512,64512,0,0
7,3,64512,64512,64512,0,0
7,4,64512,64512,64512,0,0
7,5,64512,64512,64512,0,0
7,6,63744,63488,64512,1024,1
7,7,64512,64512,64512,0,0
7,8,64512,64512,64512,0,0
7,9,63232,64512,64768,1536,1
7,10,64768,64768,64512,256,1
7,11,64512,64512,64512,0,0
7,12,64512,64512,64512,0,0
7,13,64512,63488,64768,1280,1
7,14,64768,64512,64512,256,1
7,15,64768,64768,64512,256,1
7,16,64512,64512,64512,0,0
7,17,64512,64512,64512,0,0
7,18,64512,64768,64512,256,1
7,19,64512,64512,64512,0,0
7,20,64512,64512,64512,0,0
7,21,64768,64512,64512,256,1
7,22,64768,64512,64512,256,1
7,23,64512,64512,64512,0,0
7,24,64512,64768,64512,256,1
7,25,64512,64512,64512,0,0
7,26,64768,64512,64768,256,1
7,27,64512,64512,64768,256,1
7,28,64512,64512,63232,1280,1
7,29,64768,64512,64512,256,1
8,0,64512,64512,64512,0,0
8,1,64768,64512,64768,256,1
8,2,64512,64512,64512,0,0
8,3,64512,64512,64512,0,0
8,4,64512,64512,64512,0,0
8,5,64512,64512,64768,256,1
8,6,64512,64512,64768,256,1
8,7,64512,64768,64512,256,1
8,8,64512,64512,64512,0,0
8,9,63488,64512,64512,1024,1
8,10,64768,64512,64512,256,1
8,11,64512,64512,64512,0,0
8,12,64768,64512,64512,256,1
8,13,64512,64512,64512,0,0
8,14,64768,64512,64512,256,1
8,15,64768,64512,64512,256,1
8,16,64512,64512,64512,0,0
8,17,64512,64512,64768,256,1
8,18,64512,64512,64768,256,1
8,19,64512,64512,64512,0,0
8,20,64768,64512,64512,256,1
8,21,64512,64512,64512,0,0
8,22,64512,64512,64512,0,0
8,23,64512,64512,64768,256,1
8,24,64512,64512,64768,256,1
8,25,64512,64768,64512,256,1
8,26,64768,64512,64256,512,1
8,27,64512,64768,64512,256,1
8,28,64512,64512,64512,0,0
8,29,63488,64512,64512,1024,1
9,0,64512,64768,64512,256,1
9,1,64512,64512,64512,0,0
9,2,64512,64512,64512,0,0
9,3,64512,64512,64512,0,0
9,4,64512,64512,64512,0,0
9,5,64512,64512,64512,0,0
9,6,64512,64512,64512,0,0
9,7,64512,64512,64512,0,0
9,8,64512,64512,64768,256,1
9,9,64512,63744,64512,768,1
9,10,63488,64512,63488,1024,1
9,11,64512,64512,64512,0,0
