timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,misses,miss_percent,cache_hit_latency_ns,cache_hit_stddev_ns,cache_hit_min_ns,cache_hit_max_ns,bucket_search_latency_ns,bucket_search_stddev_ns,bucket_search_min_ns,bucket_search_max_ns,context_predictions_total,context_correct,context_accuracy_percent,window_diversity_percent,window_final_size_bytes,total_runtime_ms,memory_allocated_bytes,speedup_vs_baseline,ci_lower_95,ci_upper_95
STANDARD,C_FULL,920,Iterations:,17389,17.39,82611,82.61,0,0.00,33.270,0.000,22.000,7391.000,36.417,0.000,26.000,22026.000,0,0,0,0,0,6.55,0,1.094,0,0
STANDARD,A_BASELINE,921,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,1.0,0,0
STANDARD,B_CACHE,922,Iterations:,17389,17.39,82611,82.61,0,0.00,30.531,0.000,21.000,135.000,35.546,0.000,26.000,19406.000,0,0,0,0,0,6.35,0,1.164,0,0
STANDARD,B_CACHE,923,Iterations:,17389,17.39,82611,82.61,0,0.00,31.215,0.000,22.000,3185.000,37.565,0.000,27.000,18000.000,0,0,0,0,0,6.65,0,1.203,0,0
STANDARD,B_CACHE,924,Iterations:,17389,17.39,82611,82.61,0,0.00,32.997,0.000,21.000,3425.000,36.283,0.000,26.000,4717.000,0,0,0,0,0,6.45,0,1.099,0,0
STANDARD,C_FULL,925,Iterations:,17389,17.39,82611,82.61,0,0.00,31.502,0.000,23.000,113.000,35.519,0.000,27.000,3073.000,0,0,0,0,0,6.47,0,1.127,0,0
STANDARD,C_FULL,926,Iterations:,17389,17.39,82611,82.61,0,0.00,35.915,0.000,21.000,273.000,36.642,0.000,26.000,48612.000,0,0,0,0,0,6.64,0,1.020,0,0
STANDARD,B_CACHE,927,Iterations:,17389,17.39,82611,82.61,0,0.00,30.269,0.000,22.000,3531.000,36.702,0.000,27.000,66809.000,0,0,0,0,0,6.68,0,1.212,0,0
STANDARD,B_CACHE,928,Iterations:,17389,17.39,82611,82.61,0,0.00,29.472,0.000,19.000,171.000,42.717,0.000,22.000,552745.000,0,0,0,0,0,7.24,0,1.449,0,0
STANDARD,A_BASELINE,929,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,1.0,0,0
STANDARD,C_FULL,930,Iterations:,17389,17.39,82611,82.61,0,0.00,57.103,0.001,19.000,498243.000,35.332,0.000,22.000,157243.000,0,0,0,0,0,6.73,0,.618,0,0
STANDARD,B_CACHE,931,Iterations:,17389,17.39,82611,82.61,0,0.00,30.168,0.000,21.000,616.000,36.094,0.000,26.000,11112.000,0,0,0,0,0,6.49,0,1.196,0,0
STANDARD,A_BASELINE,932,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,1.0,0,0
STANDARD,C_FULL,933,Iterations:,17389,17.39,82611,82.61,0,0.00,31.195,0.000,21.000,654.000,35.441,0.000,26.000,7195.000,0,0,0,0,0,6.40,0,1.136,0,0
STANDARD,B_CACHE,934,Iterations:,17389,17.39,82611,82.61,0,0.00,31.131,0.000,22.000,2187.000,36.254,0.000,26.000,21503.000,0,0,0,0,0,6.70,0,1.164,0,0
STANDARD,A_BASELINE,935,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40,0,1.0,0,0
STANDARD,B_CACHE,936,Iterations:,17389,17.39,82611,82.61,0,0.00,30.176,0.000,22.000,143.000,35.170,0.000,27.000,11170.000,0,0,0,0,0,6.42,0,1.165,0,0
STANDARD,B_CACHE,937,Iterations:,17389,17.39,82611,82.61,0,0.00,30.569,0.000,19.000,189.000,35.628,0.000,22.000,23085.000,0,0,0,0,0,6.28,0,1.165,0,0
STANDARD,A_BASELINE,938,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,1.0,0,0
STANDARD,A_BASELINE,939,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,1.0,0,0
STANDARD,B_CACHE,940,Iterations:,17389,17.39,82611,82.61,0,0.00,29.464,0.000,21.000,6074.000,43.267,0.000,26.000,502107.000,0,0,0,0,0,6.96,0,1.468,0,0
STANDARD,A_BASELINE,941,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,1.0,0,0
STANDARD,B_CACHE,942,Iterations:,17389,17.39,82611,82.61,0,0.00,30.243,0.000,21.000,2446.000,36.346,0.000,26.000,17012.000,0,0,0,0,0,6.45,0,1.201,0,0
STANDARD,A_BASELINE,943,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,1.0,0,0
STANDARD,B_CACHE,944,Iterations:,17389,17.39,82611,82.61,0,0.00,31.470,0.000,21.000,17354.000,35.263,0.000,26.000,2914.000,0,0,0,0,0,6.43,0,1.120,0,0
STANDARD,B_CACHE,945,Iterations:,17389,17.39,82611,82.61,0,0.00,28.309,0.000,19.000,2153.000,34.393,0.000,22.000,2381.000,0,0,0,0,0,6.11,0,1.214,0,0
STANDARD,C_FULL,946,Iterations:,17389,17.39,82611,82.61,0,0.00,29.942,0.000,20.000,151.000,34.884,0.000,22.000,4209.000,0,0,0,0,0,6.41,0,1.165,0,0
STANDARD,B_CACHE,947,Iterations:,17389,17.39,82611,82.61,0,0.00,31.845,0.000,21.000,170.000,35.337,0.000,26.000,4922.000,0,0,0,0,0,6.42,0,1.109,0,0
STANDARD,A_BASELINE,948,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,1.0,0,0
STANDARD,C_FULL,949,Iterations:,17389,17.39,82611,82.61,0,0.00,27.972,0.000,19.000,127.000,32.694,0.000,22.000,2483.000,0,0,0,0,0,5.94,0,1.168,0,0
STANDARD,C_FULL,950,Iterations:,17389,17.39,82611,82.61,0,0.00,30.017,0.000,21.000,158.000,43.036,0.000,26.000,524401.000,0,0,0,0,0,7.13,0,1.433,0,0
STANDARD,A_BASELINE,951,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,1.0,0,0
STANDARD,C_FULL,952,Iterations:,17389,17.39,82611,82.61,0,0.00,29.739,0.000,21.000,123.000,36.078,0.000,26.000,26729.000,0,0,0,0,0,6.46,0,1.213,0,0
STANDARD,B_CACHE,953,Iterations:,17389,17.39,82611,82.61,0,0.00,29.870,0.000,21.000,142.000,34.779,0.000,26.000,9336.000,0,0,0,0,0,6.23,0,1.164,0,0
STANDARD,A_BASELINE,954,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,1.0,0,0
STANDARD,A_BASELINE,955,Iterations:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,1.0,0,0
