timestamp,run_id,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate,L1_heat,L2_window,L3_decay,L4_pipeline,L5_win_inf,L6_decay_inf,L7_heartrate,total_lookups,cache_hits,cache_hit_pct,bucket_hits,bucket_hit_pct,cache_lat_ns,cache_lat_std,bucket_lat_ns,bucket_lat_std,ctx_pred_total,ctx_correct,ctx_acc_pct,cache_promos,cache_demos,win_diversity_pct,win_final_bytes,win_width,win_total_exec,win_var_q48,decay_slope,total_heat,hot_words,stale_words,stale_ratio,avg_heat,tick_count,tick_target_ns,infer_runs,early_exits,prefetch_acc_pct,prefetch_attempts,prefetch_hits,win_tune_checks,final_win_size,workload_ns_q48,runtime_ms,words_exec,dict_lookups,mem_bytes,speedup,ci_lower,ci_upper,cpu_temp_delta,cpu_freq_delta,decay_rate_q16,decay_min_ns,rolling_win_size,shrink_rate,demotion_thresh,hotwords_enabled,pipelining_enabled
2025-11-22 08:58:27,1920,0,1,1,1,1,1,1,30,0,1,1,1,1,1,1,3991,294,7.37,2978,74.62,36,1486,41,2336,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,187644772352,0,4501,4395,0,1.0000,0.000000,0.000000,0,12451840,1,1000,4096,75,10,1,1
2025-11-22 08:58:34,825,0,0,1,1,0,1,1,15,0,0,1,1,0,1,1,3991,294,7.37,2978,74.62,40,2679,44,3067,851,752,88.37,13,0,0.00,4096,4096,0,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,210963398656,0,4501,4395,0,1.0000,0.000000,0.000000,0,4718592,1,1000,4096,75,10,1,1
2025-11-22 08:58:41,3597,1,1,1,0,1,1,1,27,1,1,1,0,1,1,1,3991,1088,27.26,2184,54.72,29,937,55,50053,0,0,0.00,7,0,0.00,4096,4096,1630,0,0.333328,616,5,27,0.094737,2.161404,0,1000000,0,0,0.00,0,0,0,4096,140915507200,0,4501,4395,0,1.0000,0.000000,0.000000,0,-2228224,1,1000,4096,75,10,1,1
2025-11-22 08:58:48,3662,1,1,1,1,0,1,0,2,1,1,1,1,0,1,0,3991,1250,31.32,2022,50.66,37,45637,53,3786,851,752,88.37,14,0,0.00,4096,4096,1630,0,0.333328,483,6,25,0.087719,1.694737,0,1000000,0,0,88.37,851,752,0,4096,239332229120,0,4501,4395,0,1.0000,0.000000,0.000000,0,12517376,1,1000,4096,75,10,1,1
2025-11-22 08:58:55,2524,1,0,1,0,1,0,0,4,1,0,1,0,1,0,0,3991,1089,27.29,2183,54.70,31,1045,49,3290,0,0,0.00,7,0,0.00,4096,4096,0,0,0.333328,617,5,27,0.094737,2.164912,0,1000000,0,0,0.00,0,0,0,4096,142449377280,0,4501,4395,0,1.0000,0.000000,0.000000,0,-65536,1,1000,4096,75,10,1,1
2025-11-22 08:59:04,896,0,0,1,1,1,0,1,26,0,0,1,1,1,0,1,3991,294,7.37,2978,74.62,41,1983,51,19978,851,752,88.37,13,0,0.00,4096,4096,0,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,210229329920,0,4501,4395,0,1.0000,0.000000,0.000000,0,-65536,1,1000,4096,75,10,1,1
2025-11-22 08:59:12,2012,1,0,0,0,0,1,1,2,1,0,0,0,0,1,1,3991,1327,33.25,1945,48.73,28,885,49,3260,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.077193,2.849123,0,1000000,0,0,0.00,0,0,0,4096,127431933952,0,4501,4395,0,1.0000,0.000000,0.000000,0,21430272,1,1000,4096,75,10,1,1
2025-11-22 08:59:20,3474,1,1,1,0,0,1,1,24,1,1,1,0,0,1,1,3991,1083,27.14,2189,54.85,32,1138,54,4084,0,0,0.00,7,0,0.00,4096,4096,1630,0,0.333328,617,5,27,0.094737,2.164912,0,1000000,0,0,0.00,0,0,0,4096,153819217920,0,4501,4395,0,1.0000,0.000000,0.000000,0,-32571392,1,1000,4096,75,10,1,1
2025-11-22 08:59:27,630,0,0,1,0,1,0,0,30,0,0,1,0,1,0,0,3991,0,0.00,3272,81.98,0,0,44,2725,0,0,0.00,0,0,0.00,4096,4096,0,0,0.333328,0,0,0,0.000000,0.000000,0,1000000,0,0,0.00,0,0,0,4096,143549005824,0,4501,4395,0,1.0000,0.000000,0.000000,0,-44433408,1,1000,4096,75,10,1,1
2025-11-22 08:59:35,1220,0,1,0,1,0,0,0,20,0,1,0,1,0,0,0,3991,294,7.37,2978,74.62,36,1446,44,2642,851,752,88.37,13,0,0.00,4096,4096,1630,0,0.333328,459,9,0,0.000000,1.610526,0,1000000,0,0,88.37,851,752,0,4096,197090934784,0,4501,4395,0,1.0000,0.000000,0.000000,0,37552128,1,1000,4096,75,10,1,1
2025-11-22 08:59:42,2299,1,0,0,1,1,0,0,19,1,0,0,1,1,0,0,3991,1429,35.81,1843,46.18,38,1993,62,8523,851,752,88.37,19,0,0.00,4096,4096,0,0,0.333328,785,10,20,0.070175,2.754386,0,1000000,0,0,88.37,851,752,0,4096,245671395328,0,4501,4395,0,1.0000,0.000000,0.000000,0,-15794176,1,1000,4096,75,10,1,1
2025-11-22 08:59:49,3808,1,1,1,1,1,1,0,28,1,1,1,1,1,1,0,3991,1240,31.07,2032,50.91,54,691033,56,4134,851,752,88.37,15,0,0.00,4096,4096,1630,0,0.333328,540,8,25,0.087719,1.894737,0,1000000,0,0,88.37,851,752,0,4096,197128945664,0,4501,4395,0,1.0000,0.000000,0.000000,0,11862016,1,1000,4096,75,10,1,1
2025-11-22 08:59:57,2548,1,0,1,0,1,0,0,28,1,0,1,0,1,0,0,3991,1089,27.29,2183,54.70,33,1193,51,3504,0,0,0.00,7,0,0.00,4096,4096,0,0,0.333328,618,5,27,0.094737,2.168421,0,1000000,0,0,0.00,0,0,0,4096,150817210368,0,4501,4395,0,1.0000,0.000000,0.000000,0,20774912,1,1000,4096,75,10,1,1
2025-11-22 09:00:05,2159,1,0,0,0,1,1,1,29,1,0,0,0,1,1,1,3991,1327,33.25,1945,48.73,42,9287,63,5912,0,0,0.00,12,0,0.00,4096,4096,0,0,0.333328,812,5,22,0.077193,2.849123,0,1000000,0,0,0.00,0,0,0,4096,161757659136,0,4501,4395,0,1.0000,0.000000,0.000000,0,-53608448,1,1000,4096,75,10,1,1
2025-11-22 09:00:13,3628,1,1,1,1,0,0,0,28,1,1,1,1,0,0,0,3991,1245,31.20,2027,50.79,35,1915,68,9680,851,752,88.37,14,0,0.00,4096,4096,1630,0,0.333328,497,6,25,0.087719,1.743860,0,1000000,0,0,88.37,851,752,0,4096,250704101376,0,4501,4395,0,1.0000,0.000000,0.000000,0,-30474240,1,1000,4096,75,10,1,1
