run_id,L1_heat_tracking,L2_rolling_window,L3_linear_decay,L4_pipelining_metrics,L5_window_inference,L6_decay_inference,L7_adaptive_heartrate,replicate
1347,0,1,0,1,1,0,0,27
2663,1,0,1,1,0,0,0,23
3613,1,1,1,1,0,0,0,13
2819,1,0,1,1,1,0,1,29
2200,1,0,0,1,0,0,1,10
3379,1,1,1,0,0,0,0,19
845,0,0,1,1,1,0,0,5
2767,1,0,1,1,1,0,0,7
2188,1,0,0,1,0,0,0,28
546,0,0,1,0,0,1,0,6
891,0,0,1,1,1,0,1,21
3670,1,1,1,1,0,1,0,10
1030,0,1,0,0,0,1,0,10
2422,1,0,1,0,0,0,0,22
41,0,0,0,0,0,0,1,11
1951,1,0,0,0,0,0,1,1
1332,0,1,0,1,1,0,0,12
793,0,0,1,1,0,1,0,13
2604,1,0,1,0,1,1,0,24
3001,1,1,0,0,1,0,0,1
2504,1,0,1,0,0,1,1,14
1523,0,1,1,0,0,1,0,23
1525,0,1,1,0,0,1,0,25
1634,0,1,1,0,1,1,0,14
223,0,0,0,0,1,1,1,13
418,0,0,0,1,1,0,1,28
3031,1,1,0,0,1,0,1,1
3275,1,1,0,1,1,0,1,5
2952,1,1,0,0,0,1,0,12
1751,0,1,1,1,0,1,0,11
3703,1,1,1,1,0,1,1,13
2860,1,0,1,1,1,1,1,10
2362,1,0,0,1,1,1,0,22
3157,1,1,0,1,0,0,1,7
1187,0,1,0,0,1,1,1,17
1214,0,1,0,1,0,0,0,14
2027,1,0,0,0,0,1,1,17
194,0,0,0,0,1,1,0,14
1243,0,1,0,1,0,0,1,13
3225,1,1,0,1,0,1,1,15
151,0,0,0,0,1,0,1,1
1670,0,1,1,0,1,1,1,20
3082,1,1,0,0,1,1,0,22
3527,1,1,1,0,1,0,1,17
2861,1,0,1,1,1,1,1,11
2870,1,0,1,1,1,1,1,20
1289,0,1,0,1,0,1,0,29
1042,0,1,0,0,0,1,0,22
1609,0,1,1,0,1,0,1,19
2117,1,0,0,0,1,1,0,17
933,0,0,1,1,1,1,1,3
1056,0,1,0,0,0,1,1,6
3546,1,1,1,0,1,1,0,6
916,0,0,1,1,1,1,0,16
2757,1,0,1,1,0,1,1,27
864,0,0,1,1,1,0,0,24
1360,0,1,0,1,1,0,1,10
2228,1,0,0,1,0,1,0,8
2084,1,0,0,0,1,0,1,14
1397,0,1,0,1,1,1,0,17
2882,1,1,0,0,0,0,0,2
3077,1,1,0,0,1,1,0,17
1212,0,1,0,1,0,0,0,12
3734,1,1,1,1,1,0,0,14
2222,1,0,0,1,0,1,0,2
1470,0,1,1,0,0,0,0,30
3252,1,1,0,1,1,0,0,12
1461,0,1,1,0,0,0,0,21
265,0,0,0,1,0,0,0,25
2129,1,0,0,0,1,1,0,29
1527,0,1,1,0,0,1,0,27
186,0,0,0,0,1,1,0,6
524,0,0,1,0,0,0,1,14
2503,1,0,1,0,0,1,1,13
3246,1,1,0,1,1,0,0,6
3362,1,1,1,0,0,0,0,2
2735,1,0,1,1,0,1,1,5
1449,0,1,1,0,0,0,0,9
1542,0,1,1,0,0,1,1,12
2562,1,0,1,0,1,0,1,12
1949,1,0,0,0,0,0,0,29
556,0,0,1,0,0,1,0,16
2047,1,0,0,0,1,0,0,7
1623,0,1,1,0,1,1,0,3
432,0,0,0,1,1,1,0,12
2553,1,0,1,0,1,0,1,3
988,0,1,0,0,0,0,0,28
410,0,0,0,1,1,0,1,20
941,0,0,1,1,1,1,1,11
2922,1,1,0,0,0,0,1,12
419,0,0,0,1,1,0,1,29
2699,1,0,1,1,0,0,1,29
1238,0,1,0,1,0,0,1,8
2508,1,0,1,0,0,1,1,18
3537,1,1,1,0,1,0,1,27
1468,0,1,1,0,0,0,0,28
2308,1,0,0,1,1,0,0,28
2742,1,0,1,1,0,1,1,12
422,0,0,0,1,1,1,0,2
1955,1,0,0,0,0,0,1,5
3195,1,1,0,1,0,1,0,15
2741,1,0,1,1,0,1,1,11
2981,1,1,0,0,0,1,1,11
1579,0,1,1,0,1,0,0,19
1479,0,1,1,0,0,0,1,9
1353,0,1,0,1,1,0,1,3
3329,1,1,0,1,1,1,0,29
1438,0,1,0,1,1,1,1,28
481,0,0,1,0,0,0,0,1
314,0,0,0,1,0,1,0,14
645,0,0,1,0,1,0,1,15
2899,1,1,0,0,0,0,0,19
1716,0,1,1,1,0,0,1,6
1233,0,1,0,1,0,0,1,3
3383,1,1,1,0,0,0,0,23
198,0,0,0,0,1,1,0,18
1908,0,1,1,1,1,1,1,18
3000,1,1,0,0,0,1,1,30
3693,1,1,1,1,0,1,1,3
1504,0,1,1,0,0,1,0,4
981,0,1,0,0,0,0,0,21
3147,1,1,0,1,0,0,0,27
960,0,0,1,1,1,1,1,30
461,0,0,0,1,1,1,1,11
2260,1,0,0,1,0,1,1,10
2327,1,0,0,1,1,0,1,17
2251,1,0,0,1,0,1,1,1
2992,1,1,0,0,0,1,1,22
2065,1,0,0,0,1,0,0,25
2785,1,0,1,1,1,0,0,25
2235,1,0,0,1,0,1,0,15
1,0,0,0,0,0,0,0,1
1095,0,1,0,0,1,0,0,15
1635,0,1,1,0,1,1,0,15
2100,1,0,0,0,1,0,1,30
1617,0,1,1,0,1,0,1,27
3447,1,1,1,0,0,1,0,27
3081,1,1,0,0,1,1,0,21
1330,0,1,0,1,1,0,0,10
2958,1,1,0,0,0,1,0,18
335,0,0,0,1,0,1,1,5
2109,1,0,0,0,1,1,0,9
3260,1,1,0,1,1,0,0,20
2731,1,0,1,1,0,1,1,1
3627,1,1,1,1,0,0,0,27
3661,1,1,1,1,0,1,0,1
1768,0,1,1,1,0,1,0,28
148,0,0,0,0,1,0,0,28
3278,1,1,0,1,1,0,1,8
1692,0,1,1,1,0,0,0,12
3233,1,1,0,1,0,1,1,23
1283,0,1,0,1,0,1,0,23
802,0,0,1,1,0,1,0,22
181,0,0,0,0,1,1,0,1
1437,0,1,0,1,1,1,1,27
2619,1,0,1,0,1,1,1,9
533,0,0,1,0,0,0,1,23
1355,0,1,0,1,1,0,1,5
1763,0,1,1,1,0,1,0,23
1829,0,1,1,1,1,0,0,29
2865,1,0,1,1,1,1,1,15
2667,1,0,1,1,0,0,0,27
2513,1,0,1,0,0,1,1,23
2962,1,1,0,0,0,1,0,22
3595,1,1,1,0,1,1,1,25
3569,1,1,1,0,1,1,0,29
176,0,0,0,0,1,0,1,26
3055,1,1,0,0,1,0,1,25
2846,1,0,1,1,1,1,0,26
2943,1,1,0,0,0,1,0,3
721,0,0,1,1,0,0,0,1
2893,1,1,0,0,0,0,0,13
78,0,0,0,0,0,1,0,18
609,0,0,1,0,1,0,0,9
1779,0,1,1,1,0,1,1,9
3731,1,1,1,1,1,0,0,11
1080,0,1,0,0,0,1,1,30
3732,1,1,1,1,1,0,0,12
1137,0,1,0,0,1,0,1,27
466,0,0,0,1,1,1,1,16
2030,1,0,0,0,0,1,1,20
671,0,0,1,0,1,1,0,11
3295,1,1,0,1,1,0,1,25
2304,1,0,0,1,1,0,0,24
3577,1,1,1,0,1,1,1,7
911,0,0,1,1,1,1,0,11
3249,1,1,0,1,1,0,0,9
2560,1,0,1,0,1,0,1,10
282,0,0,0,1,0,0,1,12
3508,1,1,1,0,1,0,0,28
1657,0,1,1,0,1,1,1,7
962,0,1,0,0,0,0,0,2
3036,1,1,0,0,1,0,1,6
2573,1,0,1,0,1,0,1,23
1848,0,1,1,1,1,0,1,18
3231,1,1,0,1,0,1,1,21
278,0,0,0,1,0,0,1,8
871,0,0,1,1,1,0,1,1
2492,1,0,1,0,0,1,1,2
3267,1,1,0,1,1,0,0,27
1324,0,1,0,1,1,0,0,4
2440,1,0,1,0,0,0,1,10
3374,1,1,1,0,0,0,0,14
957,0,0,1,1,1,1,1,27
2655,1,0,1,1,0,0,0,15
3778,1,1,1,1,1,0,1,28
226,0,0,0,0,1,1,1,16
1036,0,1,0,0,0,1,0,16
1558,0,1,1,0,0,1,1,28
3784,1,1,1,1,1,1,0,4
542,0,0,1,0,0,1,0,2
15,0,0,0,0,0,0,0,15
3681,1,1,1,1,0,1,0,21
2433,1,0,1,0,0,0,1,3
608,0,0,1,0,1,0,0,8
2244,1,0,0,1,0,1,0,24
3124,1,1,0,1,0,0,0,4
12,0,0,0,0,0,0,0,12
2969,1,1,0,0,0,1,0,29
3073,1,1,0,0,1,1,0,13
1495,0,1,1,0,0,0,1,25
3213,1,1,0,1,0,1,1,3
2565,1,0,1,0,1,0,1,15
3495,1,1,1,0,1,0,0,15
930,0,0,1,1,1,1,0,30
