"workload_shape","n","mean_ns","sd_ns","cv_pct"
"baseline",30,12385.9496926609,287.917093149391,2.32454595968521
"damped_sine",30,14661.5647295994,354.930252893166,2.42082110224304
"square_wave",30,14601.6159845084,349.475709541237,2.39340433217812
"triangle",30,14752.5055979644,459.407298214724,3.11409675572748
