"config_bits","n","mean_ns","sd_ns","se_ns","cv_pct","speed_norm","stability_norm","optimality_score","rank"
100101,30,30836651.2164704,3971798.35458398,725147.850889183,12.880122185455,0,0.0178267130149355,0.0178267130149355,1
0,30,31066149.5231578,4321021.6016542,788907.000897702,13.9090993508325,0.0667122930517535,0.064725906713461,0.0929514553092242,2
10111,30,31139812.1230541,3889051.36518102,710040.386668635,12.4890007358194,0.0881250913515287,0,0.0881250913515287,3
100100,30,31543610.5635785,4636948.43065212,846587.084485449,14.7001194467133,0.205504257616108,0.10077938384046,0.228885307753928,4
110111,30,31716888.5629564,4460578.50217506,814386.488387963,14.0637329330746,0.255874009100447,0.0717738671249126,0.265749875889341,5
10010,30,31879985.015952,4378672.48633488,799432.564230948,13.7348636900045,0.303284112142149,0.0567845137639262,0.308554263754784,6
11,30,33948560.9320595,11688214.3956845,2133966.22715766,34.4291895585083,0.904593310048922,1,1.34843948940442,7
1000101,30,34276771.413049,5069714.28308707,925598.957650973,14.7905245275145,1,0.104899908122713,1.0054869420953,8
