"init_script","n_runs","mean_tick_count","sd_tick_count","mean_duration_ns","sd_duration_ns","mean_heat","sd_heat","mean_jitter","sd_jitter"
"init-l8-diverse.4th",30,24.8666666666667,2.23966335729792,6325377.9,510600.171878312,0.000329301083971584,2.08142595311099e-05,21267083201299.5,1648541451278.13
"init-l8-omni.4th",30,23.6666666666667,5.59761854124889,44333766.2333333,208976453.289827,0.000317228338136565,6.05221407298162e-05,38682434979921.2,91969068440608.4
"init-l8-stable.4th",30,24.4666666666667,2.2702473408212,6544546.83333333,1267310.70005779,0.000324758274793108,2.74268298347568e-05,21746337757328.5,3120822913953.48
"init-l8-temporal.4th",30,24.5333333333333,1.07425461996016,6350908.33333333,432768.39083616,0.000335110377622378,1.7593985422962e-05,21454925561416.2,957291363491.161
"init-l8-transition.4th",30,23.3666666666667,3.06800320699978,6510772,607150.293904293,0.000323973071813452,2.42978737351761e-05,22973965452859.4,3894910318133.54
"init-l8-volatile.4th",30,24.1333333333333,2.59619527097972,6419629.13333333,579883.788815021,0.000342832427066894,8.1593488729299e-05,22114578916273.7,3361319077654.94
