tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,prefetch_hits_delta,jitter_ns,l8_mode,K_approx,K_deviation
0,447817,0,0,0,0,0,0.000000,512,0,0,0,1.000000,0.000000
1,50069635,49621818,1477,1929,84138,0,0.000000,512,71681,48621818,0,1.000000,0.000000
2,51158210,1088575,0,0,1911,0,0.000000,512,1702,88575,0,1.000000,0.000000
3,52222886,1064676,0,0,1872,0,0.000000,512,1685,64676,0,1.000000,0.000000
4,53286128,1063242,0,0,1765,0,0.000000,512,1601,63242,0,1.000000,0.000000
5,54351716,1065588,0,0,1895,0,0.000000,512,1671,65588,4,1.000000,0.000000
6,55415091,1063375,0,0,1906,0,0.000000,512,1682,63375,4,1.000000,0.000000
7,56474909,1059818,0,0,1816,0,0.000000,512,1607,59818,4,1.000000,0.000000
8,57532316,1057407,0,0,1832,0,0.000000,512,1655,57407,4,1.000000,0.000000
9,58589134,1056818,0,0,1804,0,0.000000,512,1630,56818,4,1.000000,0.000000
10,59645327,1056193,0,0,1830,0,0.000000,512,1606,56193,4,1.000000,0.000000
11,60723006,1077679,0,0,1780,0,0.000000,512,1561,77679,4,1.000000,0.000000
12,61779595,1056589,0,0,1821,0,0.000000,512,1644,56589,4,1.000000,0.000000
13,62865613,1086018,0,0,1942,0,0.000000,512,1743,86018,4,1.000000,0.000000
14,63954249,1088636,0,0,1966,0,0.000000,512,1760,88636,4,1.000000,0.000000
15,65044576,1090327,0,0,1977,0,0.000000,512,1770,90327,4,1.000000,0.000000
16,66138976,1094400,0,0,1950,0,0.000000,512,1726,94400,4,1.000000,0.000000
17,67158384,1019408,0,0,1847,0,0.000000,512,1623,19408,4,1.000000,0.000000
18,68221243,1062859,0,0,1884,0,0.000000,512,1660,62859,4,1.000000,0.000000
19,69284820,1063577,0,0,1881,0,0.000000,512,1692,63577,4,1.000000,0.000000
20,70347157,1062337,0,0,1911,0,0.000000,512,1718,62337,4,1.000000,0.000000
21,71413944,1066787,0,0,1849,0,0.000000,512,1667,66787,4,1.000000,0.000000
22,72471881,1057937,0,0,1818,0,0.000000,512,1598,57937,4,1.000000,0.000000
23,73532520,1060639,0,0,1766,0,0.000000,512,1548,60639,4,1.000000,0.000000
24,74591803,1059283,0,0,1824,0,0.000000,512,1646,59283,4,1.000000,0.000000
25,75648378,1056575,0,0,1812,0,0.000000,512,1639,56575,4,1.000000,0.000000
26,76705015,1056637,0,0,1830,0,0.000000,512,1614,56637,4,1.000000,0.000000
27,77761177,1056162,0,0,1827,0,0.000000,512,1604,56162,4,1.000000,0.000000
28,78820730,1059553,0,0,1774,0,0.000000,512,1593,59553,4,1.000000,0.000000
29,79909849,1089119,0,0,1949,0,0.000000,512,1748,89119,4,1.000000,0.000000
30,81000630,1090781,0,0,1925,0,0.000000,512,1727,90781,4,1.000000,0.000000
31,82100369,1099739,0,0,1994,0,0.000000,512,1782,99739,4,1.000000,0.000000
32,83166271,1065902,0,0,1927,0,0.000000,512,1711,65902,4,1.000000,0.000000
33,84230930,1064659,0,0,1867,0,0.000000,512,1643,64659,4,1.000000,0.000000
34,85295411,1064481,0,0,1576,0,0.000000,512,1411,64481,4,1.000000,0.000000
35,86356710,1061299,0,0,1668,0,0.000000,512,1497,61299,4,1.000000,0.000000
36,87414094,1057384,0,0,1707,0,0.000000,512,1483,57384,4,1.000000,0.000000
37,88471426,1057332,0,0,1832,0,0.000000,512,1651,57332,4,1.000000,0.000000
38,89529496,1058070,0,0,1807,0,0.000000,512,1635,58070,4,1.000000,0.000000
39,90585397,1055901,0,0,1820,0,0.000000,512,1613,55901,4,1.000000,0.000000
40,91641120,1055723,0,0,1828,0,0.000000,512,1604,55723,4,1.000000,0.000000
41,92712268,1071148,0,0,1782,0,0.000000,512,1593,71148,4,1.000000,0.000000
42,93776140,1063872,0,0,1557,0,0.000000,512,1410,63872,4,1.000000,0.000000
43,94835451,1059311,0,0,1623,0,0.000000,512,1415,59311,4,1.000000,0.000000
44,95892835,1057384,0,0,1668,0,0.000000,512,1524,57384,4,1.000000,0.000000
45,96981883,1089048,0,0,1842,0,0.000000,512,1634,89048,4,1.000000,0.000000
46,98074027,1092144,0,0,1861,0,0.000000,512,1637,92144,4,1.000000,0.000000
47,99153168,1079141,0,0,1844,0,0.000000,512,1632,79141,4,1.000000,0.000000
48,100215760,1062592,0,0,1824,0,0.000000,512,1649,62592,4,1.000000,0.000000
49,101278023,1062263,0,0,1932,0,0.000000,512,1732,62263,4,1.000000,0.000000
50,102340295,1062272,0,0,1925,0,0.000000,512,1728,62272,4,1.000000,0.000000
51,103414820,1074525,0,0,1912,0,0.000000,512,1688,74525,4,1.000000,0.000000
52,104474935,1060115,0,0,1772,0,0.000000,512,1548,60115,4,1.000000,0.000000
53,105532150,1057215,0,0,1820,0,0.000000,512,1633,57215,4,1.000000,0.000000
54,106590172,1058022,0,0,1829,0,0.000000,512,1652,58022,4,1.000000,0.000000
55,107649338,1059166,0,0,1837,0,0.000000,512,1641,59166,4,1.000000,0.000000
56,108706431,1057093,0,0,1836,0,0.000000,512,1612,57093,4,1.000000,0.000000
57,109766473,1060042,0,0,1766,0,0.000000,512,1564,60042,4,1.000000,0.000000
58,110829375,1062902,0,0,1553,0,0.000000,512,1419,62902,4,1.000000,0.000000
59,111890494,1061119,0,0,1662,0,0.000000,512,1438,61119,4,1.000000,0.000000
60,112950231,1059737,0,0,1562,0,0.000000,512,1435,59737,4,1.000000,0.000000
61,114038292,1088061,0,0,1606,0,0.000000,512,1397,88061,4,1.000000,0.000000
62,115098654,1060362,0,0,1562,0,0.000000,512,1418,60362,4,1.000000,0.000000
63,116120716,1022062,0,0,1593,0,0.000000,512,1401,22062,4,1.000000,0.000000
64,117178332,1057616,0,0,1669,0,0.000000,512,1487,57616,4,1.000000,0.000000
65,118235112,1056780,0,0,1671,0,0.000000,512,1517,56780,4,1.000000,0.000000
66,119293450,1058338,0,0,1662,0,0.000000,512,1438,58338,4,1.000000,0.000000
67,120350358,1056908,0,0,1745,0,0.000000,512,1576,56908,4,1.000000,0.000000
68,121406162,1055804,0,0,1826,0,0.000000,512,1650,55804,4,1.000000,0.000000
69,122461945,1055783,0,0,1815,0,0.000000,512,1600,55783,4,1.000000,0.000000
70,123517908,1055963,0,0,1819,0,0.000000,512,1595,55963,4,1.000000,0.000000
71,124581571,1063663,0,0,1818,0,0.000000,512,1632,63663,4,1.000000,0.000000
72,125637250,1055679,0,0,1828,0,0.000000,512,1652,55679,4,1.000000,0.000000
73,126692874,1055624,0,0,1828,0,0.000000,512,1630,55624,4,1.000000,0.000000
74,127748746,1055872,0,0,1819,0,0.000000,512,1595,55872,4,1.000000,0.000000
75,128804990,1056244,0,0,1804,0,0.000000,512,1602,56244,4,1.000000,0.000000
76,129860958,1055968,0,0,1829,0,0.000000,512,1652,55968,4,1.000000,0.000000
77,130916602,1055644,0,0,1827,0,0.000000,512,1646,55644,4,1.000000,0.000000
78,131973420,1056818,0,0,1829,0,0.000000,512,1605,56818,4,1.000000,0.000000
79,133066656,1093236,0,0,1798,0,0.000000,512,1578,93236,4,1.000000,0.000000
80,134155713,1089057,0,0,1844,0,0.000000,512,1663,89057,4,1.000000,0.000000
81,135228649,1072936,0,0,1837,0,0.000000,512,1659,72936,4,1.000000,0.000000
82,136289935,1061286,0,0,1652,0,0.000000,512,1447,61286,4,1.000000,0.000000
83,137349354,1059419,0,0,1675,0,0.000000,512,1493,59419,4,1.000000,0.000000
84,138406551,1057197,0,0,1672,0,0.000000,512,1518,57197,4,1.000000,0.000000
85,139463092,1056541,0,0,1676,0,0.000000,512,1452,56541,4,1.000000,0.000000
86,140524242,1061150,0,0,1771,0,0.000000,512,1593,61150,4,1.000000,0.000000
87,141584101,1059859,0,0,1679,0,0.000000,512,1521,59859,4,1.000000,0.000000
88,142641415,1057314,0,0,1673,0,0.000000,512,1449,57314,4,1.000000,0.000000
89,143698247,1056832,0,0,1673,0,0.000000,512,1520,56832,4,1.000000,0.000000
90,144755398,1057151,0,0,1714,0,0.000000,512,1531,57151,4,1.000000,0.000000
91,145855552,1100154,0,0,1741,0,0.000000,512,1517,100154,4,1.000000,0.000000
92,146948428,1092876,0,0,1923,0,0.000000,512,1721,92876,4,1.000000,0.000000
93,148038788,1090360,0,0,1978,0,0.000000,512,1769,90360,4,1.000000,0.000000
94,149134515,1095727,0,0,1993,0,0.000000,512,1782,95727,4,1.000000,0.000000
95,150156494,1021979,0,0,1852,0,0.000000,512,1671,21979,4,1.000000,0.000000
96,151218884,1062390,0,0,1787,0,0.000000,512,1582,62390,4,1.000000,0.000000
97,152282052,1063168,0,0,1856,0,0.000000,512,1632,63168,4,1.000000,0.000000
98,153344187,1062135,0,0,1698,0,0.000000,512,1524,62135,4,1.000000,0.000000
99,154404620,1060433,0,0,1646,0,0.000000,512,1484,60433,4,1.000000,0.000000
100,155462167,1057547,0,0,1649,0,0.000000,512,1433,57547,4,1.000000,0.000000
101,156530195,1068028,0,0,1724,0,0.000000,512,1569,68028,4,1.000000,0.000000
102,157586821,1056626,0,0,1831,0,0.000000,512,1642,56626,4,1.000000,0.000000
103,158643264,1056443,0,0,1794,0,0.000000,512,1570,56443,4,1.000000,0.000000
104,159699161,1055897,0,0,1831,0,0.000000,512,1618,55897,4,1.000000,0.000000
105,160755480,1056319,0,0,1782,0,0.000000,512,1615,56319,4,1.000000,0.000000
106,161850205,1094725,0,0,1920,0,0.000000,512,1724,94725,4,1.000000,0.000000
107,162938873,1088668,0,0,1963,0,0.000000,512,1755,88668,4,1.000000,0.000000
108,164027594,1088721,0,0,1974,0,0.000000,512,1750,88721,4,1.000000,0.000000
109,165121955,1094361,0,0,1989,0,0.000000,512,1765,94361,4,1.000000,0.000000
110,166156490,1034535,0,0,1885,0,0.000000,512,1661,34535,4,1.000000,0.000000
111,167244347,1087857,0,0,1949,0,0.000000,512,1725,87857,4,1.000000,0.000000
112,168306471,1062124,0,0,1924,0,0.000000,512,1718,62124,4,1.000000,0.000000
113,169368880,1062409,0,0,1909,0,0.000000,512,1715,62409,4,1.000000,0.000000
114,170431162,1062282,0,0,1912,0,0.000000,512,1719,62282,4,1.000000,0.000000
115,171490442,1059280,0,0,1817,0,0.000000,512,1626,59280,4,1.000000,0.000000
116,172547148,1056706,0,0,1822,0,0.000000,512,1598,56706,4,1.000000,0.000000
117,173606441,1059293,0,0,1715,0,0.000000,512,1525,59293,4,1.000000,0.000000
118,174664743,1058302,0,0,1825,0,0.000000,512,1649,58302,4,1.000000,0.000000
119,175720860,1056117,0,0,1825,0,0.000000,512,1631,56117,4,1.000000,0.000000
120,176777588,1056728,0,0,1821,0,0.000000,512,1596,56728,4,1.000000,0.000000
121,177845206,1067618,0,0,1797,0,0.000000,512,1593,67618,4,1.000000,0.000000
122,178902398,1057192,0,0,1831,0,0.000000,512,1654,57192,4,1.000000,0.000000
123,179958465,1056067,0,0,1830,0,0.000000,512,1652,56067,4,1.000000,0.000000
124,181014441,1055976,0,0,1831,0,0.000000,512,1607,55976,4,1.000000,0.000000
125,182070336,1055895,0,0,1830,0,0.000000,512,1606,55895,4,1.000000,0.000000
126,183121249,1050913,0,0,1816,0,0.000000,512,1634,50913,4,1.000000,0.000000
127,184177330,1056081,0,0,1833,0,0.000000,512,1656,56081,4,1.000000,0.000000
128,185233550,1056220,0,0,1796,0,0.000000,512,1595,56220,4,1.000000,0.000000
129,186289544,1055994,0,0,1825,0,0.000000,512,1601,55994,4,1.000000,0.000000
130,187345327,1055783,0,0,1825,0,0.000000,512,1626,55783,4,1.000000,0.000000
131,188407834,1062507,0,0,1816,0,0.000000,512,1643,62507,4,1.000000,0.000000
132,189463615,1055781,0,0,1825,0,0.000000,512,1637,55781,4,1.000000,0.000000
133,190519426,1055811,0,0,1829,0,0.000000,512,1605,55811,4,1.000000,0.000000
134,191575236,1055810,0,0,1826,0,0.000000,512,1607,55810,4,1.000000,0.000000
135,192630898,1055662,0,0,1826,0,0.000000,512,1648,55662,4,1.000000,0.000000
136,193688116,1057218,0,0,1721,0,0.000000,512,1558,57218,4,1.000000,0.000000
137,194744645,1056529,0,0,1815,0,0.000000,512,1591,56529,4,1.000000,0.000000
138,195800623,1055978,0,0,1827,0,0.000000,512,1610,55978,4,1.000000,0.000000
139,196857237,1056614,0,0,1828,0,0.000000,512,1649,56614,4,1.000000,0.000000
140,197913406,1056169,0,0,1807,0,0.000000,512,1635,56169,4,1.000000,0.000000
141,198974360,1060954,0,0,1840,0,0.000000,512,1624,60954,4,1.000000,0.000000
142,200030508,1056148,0,0,1834,0,0.000000,512,1609,56148,4,1.000000,0.000000
143,201086466,1055958,0,0,1833,0,0.000000,512,1639,55958,4,1.000000,0.000000
144,202118504,1032038,0,0,1789,0,0.000000,512,1620,32038,4,1.000000,0.000000
145,203176243,1057739,0,0,1762,0,0.000000,512,1566,57739,4,1.000000,0.000000
146,204233172,1056929,0,0,1835,0,0.000000,512,1611,56929,4,1.000000,0.000000
147,205289363,1056191,0,0,1816,0,0.000000,512,1620,56191,4,1.000000,0.000000
148,206345047,1055684,0,0,1830,0,0.000000,512,1653,55684,4,1.000000,0.000000
149,207401476,1056429,0,0,1831,0,0.000000,512,1644,56429,4,1.000000,0.000000
150,208457129,1055653,0,0,1831,0,0.000000,512,1607,55653,4,1.000000,0.000000
