tick_number,elapsed_ns,tick_interval_ns,cache_hits_delta,bucket_hits_delta,word_executions_delta,hot_word_count,avg_word_heat,window_width,prefetch_hits_delta,jitter_ns,l8_mode,K_approx,K_deviation
0,499895,0,0,0,0,0,0.000000,4096,0,0,0,1.000000,0.000000
1,50006057,49506162,1477,1929,83086,0,0.000000,4096,70741,48506162,0,1.000000,0.000000
2,51077642,1071585,0,0,1828,0,0.000000,4096,1641,71585,0,1.000000,0.000000
3,52136275,1058633,0,0,1749,0,0.000000,4096,1588,58633,0,1.000000,0.000000
4,53193034,1056759,0,0,1800,0,0.000000,4096,1588,56759,0,1.000000,0.000000
5,54251431,1058397,0,0,1839,0,0.000000,4096,1614,58397,4,1.000000,0.000000
6,55308044,1056613,0,0,1825,0,0.000000,4096,1635,56613,4,1.000000,0.000000
7,56393715,1085671,0,0,1944,0,0.000000,4096,1744,85671,4,1.000000,0.000000
8,57480970,1087255,0,0,1970,0,0.000000,4096,1764,87255,4,1.000000,0.000000
9,58571474,1090504,0,0,1979,0,0.000000,4096,1770,90504,4,1.000000,0.000000
10,59600610,1029136,0,0,1870,0,0.000000,4096,1668,29136,4,1.000000,0.000000
11,60679041,1078431,0,0,1949,0,0.000000,4096,1724,78431,4,1.000000,0.000000
12,61741299,1062258,0,0,1927,0,0.000000,4096,1704,62258,4,1.000000,0.000000
13,62803446,1062147,0,0,1924,0,0.000000,4096,1700,62147,4,1.000000,0.000000
14,63865369,1061923,0,0,1917,0,0.000000,4096,1714,61923,4,1.000000,0.000000
15,64924764,1059395,0,0,1842,0,0.000000,4096,1663,59395,4,1.000000,0.000000
16,65985665,1060901,0,0,1837,0,0.000000,4096,1659,60901,4,1.000000,0.000000
17,67046599,1060934,0,0,1832,0,0.000000,4096,1608,60934,4,1.000000,0.000000
18,68103269,1056670,0,0,1836,0,0.000000,4096,1612,56670,4,1.000000,0.000000
19,69159437,1056168,0,0,1837,0,0.000000,4096,1648,56168,4,1.000000,0.000000
20,70218789,1059352,0,0,1694,0,0.000000,4096,1546,59352,4,1.000000,0.000000
21,71289162,1070373,0,0,1860,0,0.000000,4096,1637,70373,4,1.000000,0.000000
22,72351557,1062395,0,0,1839,0,0.000000,4096,1615,62395,4,1.000000,0.000000
23,73412922,1061365,0,0,1839,0,0.000000,4096,1643,61365,4,1.000000,0.000000
24,74472258,1059336,0,0,1832,0,0.000000,4096,1655,59336,4,1.000000,0.000000
25,75530273,1058015,0,0,1795,0,0.000000,4096,1608,58015,4,1.000000,0.000000
26,76568860,1038587,0,0,1796,0,0.000000,4096,1572,38587,4,1.000000,0.000000
27,77625076,1056216,0,0,1832,0,0.000000,4096,1624,56216,4,1.000000,0.000000
28,78681233,1056157,0,0,1832,0,0.000000,4096,1655,56157,4,1.000000,0.000000
29,79737031,1055798,0,0,1833,0,0.000000,4096,1653,55798,4,1.000000,0.000000
30,80793188,1056157,0,0,1832,0,0.000000,4096,1613,56157,4,1.000000,0.000000
31,81858840,1065652,0,0,1846,0,0.000000,4096,1622,65652,4,1.000000,0.000000
32,82915344,1056504,0,0,1821,0,0.000000,4096,1630,56504,4,1.000000,0.000000
33,83971288,1055944,0,0,1834,0,0.000000,4096,1657,55944,4,1.000000,0.000000
34,85027345,1056057,0,0,1835,0,0.000000,4096,1643,56057,4,1.000000,0.000000
35,86083229,1055884,0,0,1834,0,0.000000,4096,1610,55884,4,1.000000,0.000000
36,87140022,1056793,0,0,1836,0,0.000000,4096,1617,56793,4,1.000000,0.000000
37,88200125,1060103,0,0,1823,0,0.000000,4096,1645,60103,4,1.000000,0.000000
38,89260628,1060503,0,0,1835,0,0.000000,4096,1658,60503,4,1.000000,0.000000
39,90321543,1060915,0,0,1665,0,0.000000,4096,1455,60915,4,1.000000,0.000000
40,91381696,1060153,0,0,1782,0,0.000000,4096,1581,60153,4,1.000000,0.000000
